attack_type,packet Number,event_type,time_stamp,signal_strength,ssid,bssid,src,dst,reason,status,details
Dragonblood DoS,163,Authentication,,-64,,78:72:64:ea:b9:14,86:e2:27:5c:6b:c3,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
,164,Authentication,,-26,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,06:56:ed:f4:77:57,,126,Unsuccessful Authentication (check status code) to Trusted AP
,165,Authentication,,-27,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,06:56:ed:f4:77:57,,126,Unsuccessful Authentication (check status code) to Trusted AP
,166,Authentication,,-28,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,06:56:ed:f4:77:57,,126,Unsuccessful Authentication (check status code) to Trusted AP
,167,Authentication,,-30,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,06:56:ed:f4:77:57,,126,Unsuccessful Authentication (check status code) to Trusted AP
Dragonblood DoS,168,Authentication,,-62,,78:72:64:ea:b9:14,f2:4c:c0:3b:f4:9b,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
Dragonblood DoS,170,Authentication,,-63,,78:72:64:ea:b9:14,26:66:63:92:be:99,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
Dragonblood DoS,171,Authentication,,-64,,78:72:64:ea:b9:14,fa:c6:51:a3:11:31,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
Dragonblood DoS,172,Authentication,,-64,,78:72:64:ea:b9:14,62:2f:64:89:54:2a,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
Dragonblood DoS,173,Authentication,,-63,,78:72:64:ea:b9:14,56:0e:cf:ac:31:c5,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
Dragonblood DoS,174,Authentication,,-64,,78:72:64:ea:b9:14,7e:f6:1a:22:9a:79,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
Dragonblood DoS,175,Authentication,,-63,,78:72:64:ea:b9:14,9a:8b:18:51:c3:71,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
Dragonblood DoS,176,Authentication,,-63,,78:72:64:ea:b9:14,ae:6c:8e:e3:64:84,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
Dragonblood DoS,177,Authentication,,-66,,78:72:64:ea:b9:14,d6:c7:51:ad:31:c8,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
Dragonblood DoS,178,Authentication,,-63,,78:72:64:ea:b9:14,e2:18:34:59:e9:73,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
,180,Authentication,,-29,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,7e:5b:51:3d:17:cd,,126,Unsuccessful Authentication (check status code) to Trusted AP
,181,Authentication,,-30,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,7e:5b:51:3d:17:cd,,126,Unsuccessful Authentication (check status code) to Trusted AP
Dragonblood DoS,182,Authentication,,-62,,78:72:64:ea:b9:14,8e:89:2d:2a:5f:93,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
,183,Authentication,,-30,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,7e:5b:51:3d:17:cd,,126,Unsuccessful Authentication (check status code) to Trusted AP
,184,Authentication,,-30,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,7e:5b:51:3d:17:cd,,126,Unsuccessful Authentication (check status code) to Trusted AP
Dragonblood DoS,185,Authentication,,-63,,78:72:64:ea:b9:14,ba:be:a2:a9:3d:41,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
