host_timestamp,local_time,cpu_used_pct,ram_used_pct
1783362318.9303799,2026-07-06 20:25:18,0.0,72.68
1783362323.932677,2026-07-06 20:25:23,78.0,72.68
1783362328.9523022,2026-07-06 20:25:28,72.26,72.68
1783362333.9405103,2026-07-06 20:25:33,73.0,72.68
1783362338.9585352,2026-07-06 20:25:38,69.6,72.68
1783362343.9726725,2026-07-06 20:25:43,70.92,72.68
1783362348.937288,2026-07-06 20:25:48,72.84,72.68
1783362353.957221,2026-07-06 20:25:53,70.46,72.68
1783362358.9951463,2026-07-06 20:25:58,65.07,72.68
1783362363.9422412,2026-07-06 20:26:03,71.23,72.68
1783362368.9965358,2026-07-06 20:26:08,71.77,72.68
1783362373.9816682,2026-07-06 20:26:13,75.0,72.68
1783362378.9635835,2026-07-06 20:26:18,72.6,72.68
1783362383.971189,2026-07-06 20:26:23,78.56,72.68
1783362388.9697258,2026-07-06 20:26:28,77.89,72.68
1783362393.9699254,2026-07-06 20:26:33,72.49,72.68
1783362398.986526,2026-07-06 20:26:38,70.83,72.68
1783362403.9725854,2026-07-06 20:26:43,71.29,72.68
1783362408.9822817,2026-07-06 20:26:48,73.25,72.68
1783362413.9785798,2026-07-06 20:26:53,74.3,72.68
1783362418.986746,2026-07-06 20:26:58,70.4,72.68
1783362423.973873,2026-07-06 20:27:03,71.14,72.68
1783362428.9775043,2026-07-06 20:27:08,76.85,72.68
1783362433.9887433,2026-07-06 20:27:13,71.4,72.68
1783362438.9875326,2026-07-06 20:27:18,72.06,72.68
1783362443.9817348,2026-07-06 20:27:23,71.49,72.68
1783362448.98039,2026-07-06 20:27:28,73.65,72.68
1783362453.996851,2026-07-06 20:27:33,81.64,72.68
1783362458.981143,2026-07-06 20:27:38,76.71,72.68
1783362463.9935665,2026-07-06 20:27:43,69.06,72.68
1783362469.0042489,2026-07-06 20:27:49,71.06,72.68
1783362474.003851,2026-07-06 20:27:54,71.29,72.68
1783362478.9720352,2026-07-06 20:27:58,74.7,72.68
1783362483.9896977,2026-07-06 20:28:03,67.66,72.68
1783362488.9945261,2026-07-06 20:28:08,71.66,72.68
1783362493.9741642,2026-07-06 20:28:13,77.71,72.68
1783362498.9927554,2026-07-06 20:28:18,74.25,72.68
1783362503.9707735,2026-07-06 20:28:23,72.89,72.68
1783362508.9736357,2026-07-06 20:28:28,70.6,72.68
1783362514.0080028,2026-07-06 20:28:34,74.1,72.68
1783362518.9812992,2026-07-06 20:28:38,83.5,72.68
1783362524.0003417,2026-07-06 20:28:43,72.91,72.68
1783362529.0178864,2026-07-06 20:28:49,71.66,72.68
1783362533.9867482,2026-07-06 20:28:53,73.09,72.68
1783362539.010969,2026-07-06 20:28:59,74.55,72.68
1783362543.9754317,2026-07-06 20:29:03,69.22,72.68
1783362549.0021849,2026-07-06 20:29:08,71.37,72.68
