host_timestamp,local_time,cpu_used_pct,ram_used_pct
1782555054.0521166,2026-06-27 12:10:54,0.0,72.73
1782555059.0877094,2026-06-27 12:10:59,27.04,72.73
1782555064.0582793,2026-06-27 12:11:04,24.3,72.73
1782555069.0599456,2026-06-27 12:11:09,25.2,72.73
1782555074.0711195,2026-06-27 12:11:14,28.54,72.73
1782555079.0748906,2026-06-27 12:11:19,24.8,72.73
1782555084.0762,2026-06-27 12:11:24,23.75,72.73
1782555089.0966456,2026-06-27 12:11:29,27.29,72.73
1782555094.0911174,2026-06-27 12:11:34,24.65,72.73
1782555099.1064467,2026-06-27 12:11:39,24.75,72.73
1782555104.0959136,2026-06-27 12:11:44,28.2,72.73
1782555109.0962408,2026-06-27 12:11:49,25.6,72.73
1782555114.097023,2026-06-27 12:11:54,24.4,72.73
1782555119.0974367,2026-06-27 12:11:59,27.8,72.73
1782555124.1013033,2026-06-27 12:12:04,23.8,72.73
1782555129.1018677,2026-06-27 12:12:09,25.0,72.73
1782555134.1170225,2026-06-27 12:12:14,29.08,72.73
1782555139.1118531,2026-06-27 12:12:19,24.5,72.73
1782555144.1729221,2026-06-27 12:12:24,24.85,72.73
1782555149.2369614,2026-06-27 12:12:29,27.27,72.73
1782555154.2476346,2026-06-27 12:12:34,23.95,72.73
1782555159.2549398,2026-06-27 12:12:39,27.54,72.73
1782555164.2586298,2026-06-27 12:12:44,26.2,72.73
1782555169.2619538,2026-06-27 12:12:49,25.2,72.73
1782555174.263699,2026-06-27 12:12:54,26.4,72.73
1782555179.2769077,2026-06-27 12:12:59,25.3,72.73
1782555184.2834918,2026-06-27 12:13:04,24.2,72.73
1782555189.2777328,2026-06-27 12:13:09,27.4,72.73
1782555194.2746687,2026-06-27 12:13:14,27.4,72.72
1782555199.2890422,2026-06-27 12:13:19,25.6,72.72
1782555204.2759905,2026-06-27 12:13:24,27.4,72.72
1782555209.3060286,2026-06-27 12:13:29,60.04,72.69
1782555214.2930324,2026-06-27 12:13:34,45.18,72.7
1782555219.2833643,2026-06-27 12:13:39,25.25,72.72
1782555224.28519,2026-06-27 12:13:44,28.94,72.72
1782555229.3012333,2026-06-27 12:13:49,24.8,72.72
1782555234.3133404,2026-06-27 12:13:54,25.9,72.72
1782555239.312092,2026-06-27 12:13:59,27.2,72.72
1782555244.3039992,2026-06-27 12:14:04,25.65,72.72
1782555249.347716,2026-06-27 12:14:09,26.1,72.72
1782555254.3251226,2026-06-27 12:14:14,28.6,72.72
1782555259.3179371,2026-06-27 12:14:19,25.6,72.72
1782555264.3414733,2026-06-27 12:14:24,25.35,72.72
1782555269.32828,2026-06-27 12:14:29,27.05,72.72
1782555274.3310614,2026-06-27 12:14:34,23.75,72.72
1782555279.3539586,2026-06-27 12:14:39,26.95,72.72
1782555284.3340533,2026-06-27 12:14:44,27.45,72.72
1782555289.3385208,2026-06-27 12:14:49,25.15,72.72
1782555294.372144,2026-06-27 12:14:54,26.64,72.72
1782555299.339517,2026-06-27 12:14:59,25.35,72.72
1782555304.3420143,2026-06-27 12:15:04,24.2,72.72
1782555309.375677,2026-06-27 12:15:09,27.58,72.72
1782555314.3717964,2026-06-27 12:15:14,78.71,72.71
1782555319.3853133,2026-06-27 12:15:19,54.98,72.71
1782555324.3436499,2026-06-27 12:15:24,52.22,72.72
1782555329.345359,2026-06-27 12:15:29,83.43,72.7
1782555334.3669999,2026-06-27 12:15:34,23.71,72.7
1782555339.4135294,2026-06-27 12:15:39,25.7,72.72
1782555344.3849423,2026-06-27 12:15:44,28.06,72.72
1782555349.3861833,2026-06-27 12:15:49,24.75,72.72
1782555354.405603,2026-06-27 12:15:54,26.15,72.72
1782555359.3906665,2026-06-27 12:15:59,26.25,72.72
1782555364.4030788,2026-06-27 12:16:04,24.55,72.72
1782555369.4285955,2026-06-27 12:16:09,53.68,72.5
1782555374.4440303,2026-06-27 12:16:14,100.0,72.5
1782555379.4628923,2026-06-27 12:16:19,100.0,72.5
1782555384.4625735,2026-06-27 12:16:24,100.0,72.5
1782555389.4640665,2026-06-27 12:16:29,100.0,72.5
1782555394.478339,2026-06-27 12:16:34,100.0,72.5
1782555399.4943097,2026-06-27 12:16:39,100.0,72.5
1782555404.5037606,2026-06-27 12:16:44,100.0,72.5
1782555409.4943478,2026-06-27 12:16:49,100.0,72.5
1782555414.4725153,2026-06-27 12:16:54,100.0,72.5
1782555419.563368,2026-06-27 12:16:59,100.0,72.5
1782555424.4870696,2026-06-27 12:17:04,100.0,72.5
1782555429.481612,2026-06-27 12:17:09,100.0,72.5
1782555434.4843986,2026-06-27 12:17:14,100.0,72.5
1782555439.501066,2026-06-27 12:17:19,100.0,72.5
1782555444.4939125,2026-06-27 12:17:24,100.0,72.5
1782555449.4940078,2026-06-27 12:17:29,100.0,72.5
1782555454.4963226,2026-06-27 12:17:34,100.0,72.5
1782555459.4852083,2026-06-27 12:17:39,100.0,72.5
1782555464.4938776,2026-06-27 12:17:44,100.0,72.5
1782555469.493918,2026-06-27 12:17:49,100.0,72.5
1782555474.495629,2026-06-27 12:17:54,100.0,72.5
1782555479.4937432,2026-06-27 12:17:59,100.0,72.5
1782555484.5042238,2026-06-27 12:18:04,100.0,72.5
1782555489.5530446,2026-06-27 12:18:09,100.0,72.5
1782555494.513441,2026-06-27 12:18:14,100.0,72.5
1782555499.5157194,2026-06-27 12:18:19,100.0,72.5
1782555504.5344646,2026-06-27 12:18:24,100.0,72.5
1782555509.5323696,2026-06-27 12:18:29,100.0,72.5
1782555514.5379906,2026-06-27 12:18:34,100.0,72.5
1782555519.5591125,2026-06-27 12:18:39,100.0,72.5
1782555524.582806,2026-06-27 12:18:44,100.0,72.5
1782555529.580609,2026-06-27 12:18:49,100.0,72.5
1782555534.5830297,2026-06-27 12:18:54,100.0,72.5
1782555539.58321,2026-06-27 12:18:59,100.0,72.5
1782555544.572758,2026-06-27 12:19:04,100.0,72.5
1782555549.5859594,2026-06-27 12:19:09,100.0,72.5
1782555554.577791,2026-06-27 12:19:14,100.0,72.5
1782555559.6197522,2026-06-27 12:19:19,100.0,72.5
1782555564.5924273,2026-06-27 12:19:24,100.0,72.5
1782555569.5826755,2026-06-27 12:19:29,100.0,72.5
1782555574.6052644,2026-06-27 12:19:34,100.0,72.5
1782555579.6030645,2026-06-27 12:19:39,100.0,72.5
1782555584.6018057,2026-06-27 12:19:44,100.0,72.5
1782555589.6039066,2026-06-27 12:19:49,100.0,72.5
1782555594.6536489,2026-06-27 12:19:54,100.0,72.5
1782555599.6126804,2026-06-27 12:19:59,100.0,72.5
1782555604.6250882,2026-06-27 12:20:04,100.0,72.5
1782555609.6577952,2026-06-27 12:20:09,100.0,72.5
1782555614.667532,2026-06-27 12:20:14,100.0,72.5
1782555619.6507084,2026-06-27 12:20:19,100.0,72.5
1782555624.659286,2026-06-27 12:20:24,100.0,72.5
1782555629.660322,2026-06-27 12:20:29,100.0,72.5
1782555634.6615138,2026-06-27 12:20:34,100.0,72.5
1782555639.6799276,2026-06-27 12:20:39,100.0,72.5
1782555644.6798143,2026-06-27 12:20:44,100.0,72.5
1782555649.7036824,2026-06-27 12:20:49,100.0,72.5
1782555654.6867764,2026-06-27 12:20:54,100.0,72.5
1782555659.6819382,2026-06-27 12:20:59,100.0,72.5
1782555664.6727703,2026-06-27 12:21:04,100.0,72.5
1782555669.6838918,2026-06-27 12:21:09,100.0,72.5
1782555674.6989071,2026-06-27 12:21:14,100.0,72.5
1782555679.7078617,2026-06-27 12:21:19,100.0,72.5
1782555684.7116156,2026-06-27 12:21:24,100.0,72.5
1782555689.7702422,2026-06-27 12:21:29,100.0,72.5
1782555694.7550447,2026-06-27 12:21:34,100.0,72.5
1782555699.762975,2026-06-27 12:21:39,100.0,72.5
1782555704.7630873,2026-06-27 12:21:44,100.0,72.5
1782555709.7506976,2026-06-27 12:21:49,100.0,72.5
1782555714.7680128,2026-06-27 12:21:54,100.0,72.5
1782555719.773958,2026-06-27 12:21:59,100.0,72.5
1782555724.7777188,2026-06-27 12:22:04,100.0,72.5
1782555729.8121436,2026-06-27 12:22:09,100.0,72.5
1782555734.7838738,2026-06-27 12:22:14,100.0,72.5
1782555739.8139575,2026-06-27 12:22:19,100.0,72.5
1782555744.8131573,2026-06-27 12:22:24,100.0,72.5
1782555749.8168142,2026-06-27 12:22:29,100.0,72.5
1782555754.8447824,2026-06-27 12:22:34,100.0,72.5
1782555759.848828,2026-06-27 12:22:39,100.0,72.5
1782555764.8387475,2026-06-27 12:22:44,100.0,72.52
1782555769.8337522,2026-06-27 12:22:49,100.0,72.52
1782555774.8374135,2026-06-27 12:22:54,100.0,72.52
1782555779.843467,2026-06-27 12:22:59,100.0,72.52
1782555784.8833547,2026-06-27 12:23:04,100.0,72.52
1782555789.840727,2026-06-27 12:23:09,100.0,72.52
1782555794.8331723,2026-06-27 12:23:14,100.0,72.52
1782555799.8350582,2026-06-27 12:23:19,100.0,72.52
1782555804.8383517,2026-06-27 12:23:24,100.0,72.52
1782555809.8485615,2026-06-27 12:23:29,100.0,72.52
1782555814.8637471,2026-06-27 12:23:34,100.0,72.52
1782555819.8798285,2026-06-27 12:23:39,100.0,72.52
1782555824.8552873,2026-06-27 12:23:44,100.0,72.52
1782555829.878875,2026-06-27 12:23:49,100.0,72.52
1782555834.8718567,2026-06-27 12:23:54,100.0,72.52
1782555839.9244804,2026-06-27 12:23:59,100.0,72.52
1782555844.9043162,2026-06-27 12:24:04,100.0,72.52
1782555849.9393837,2026-06-27 12:24:09,100.0,72.54
1782555854.932962,2026-06-27 12:24:14,100.0,72.54
1782555859.922155,2026-06-27 12:24:19,100.0,72.54
1782555864.9339044,2026-06-27 12:24:24,100.0,72.54
1782555869.940371,2026-06-27 12:24:29,100.0,72.54
1782555874.949315,2026-06-27 12:24:34,100.0,72.54
1782555879.9534779,2026-06-27 12:24:39,100.0,72.54
1782555884.974662,2026-06-27 12:24:44,100.0,72.54
1782555889.9729543,2026-06-27 12:24:49,100.0,72.54
1782555894.9922998,2026-06-27 12:24:54,100.0,72.54
1782555899.9888792,2026-06-27 12:24:59,100.0,72.54
1782555904.9892173,2026-06-27 12:25:04,100.0,72.54
