packet_number,tsf,frame_name,frame_len,length,dbm_antsignal,channel_freq,type,subtype,ds,frag,retry,pwrmgt,moredata,protected,duration,label
1,30685652703,S1G Beacon,61,34,-35,920,3,1,,,,,,,0,0
2,30686471909,S1G Beacon,129,34,-37,920,3,1,,,,,,,0,0
3,30687291110,S1G Beacon,61,34,-35,920,3,1,,,,,,,0,0
5,30687673484,Data,287,34,-37,920,2,0,0,0,0,0,0,1,0,0
6,30688110313,S1G Beacon,129,34,-36,920,3,1,,,,,,,0,0
7,30688843191,Authentication,166,34,-70,920,0,11,0,0,0,0,0,0,0,0
8,30688908727,Authentication,166,34,-71,920,0,11,0,0,0,0,0,0,0,0
9,30688929517,S1G Beacon,61,34,-36,920,3,1,,,,,,,0,0
10,30688941494,Authentication,166,34,-72,920,0,11,0,0,0,0,0,0,0,0
11,30688995375,Authentication,166,34,-36,920,0,11,0,0,0,0,0,0,720,0
12,30689001056,Authentication,166,34,-36,920,0,11,0,0,1,0,0,0,720,0
13,30689006944,Authentication,166,34,-36,920,0,11,0,0,1,0,0,0,720,0
14,30689013041,Authentication,166,34,-37,920,0,11,0,0,1,0,0,0,720,0
15,30689053109,Authentication,166,34,-73,920,0,11,0,0,0,0,0,0,0,0
16,30689105333,Authentication,166,34,-71,920,0,11,0,0,0,0,0,0,0,0
17,30689170869,Authentication,166,34,-70,920,0,11,0,0,0,0,0,0,0,0
18,30689203637,Authentication,166,34,-70,920,0,11,0,0,0,0,0,0,0,0
19,30689208535,Authentication,166,34,-36,920,0,11,0,0,0,0,0,0,720,0
20,30689214580,Authentication,166,34,-36,920,0,11,0,0,1,0,0,0,720,0
21,30689220415,Authentication,166,34,-37,920,0,11,0,0,1,0,0,0,720,0
22,30689226144,Authentication,166,34,-35,920,0,11,0,0,1,0,0,0,720,0
23,30689269173,Authentication,166,34,-72,920,0,11,0,0,0,0,0,0,0,0
24,30689334708,Authentication,166,34,-71,920,0,11,0,0,0,0,0,0,0,0
25,30689367476,Authentication,166,34,-70,920,0,11,0,0,0,0,0,0,0,0
26,30689418079,Authentication,166,34,-37,920,0,11,0,0,0,0,0,0,720,0
27,30689424071,Authentication,166,34,-37,920,0,11,0,0,1,0,0,0,720,0
28,30689429958,Authentication,166,34,-35,920,0,11,0,0,1,0,0,0,720,0
29,30689437667,Authentication,166,34,-35,920,0,11,0,0,1,0,0,0,720,0
30,30689498547,Authentication,166,34,-70,920,0,11,0,0,0,0,0,0,0,0
31,30689531315,Authentication,166,34,-70,920,0,11,0,0,0,0,0,0,0,0
32,30689596850,Authentication,166,34,-70,920,0,11,0,0,0,0,0,0,0,0
33,30689638200,Authentication,166,34,-35,920,0,11,0,0,0,0,0,0,720,0
34,30689643410,Authentication,166,34,-34,920,0,11,0,0,1,0,0,0,720,0
35,30689648048,Authentication,166,34,-72,920,0,11,0,0,0,0,0,0,0,0
36,30689652686,Authentication,166,34,-35,920,0,11,0,0,1,0,0,0,720,0
37,30689658522,Authentication,166,34,-36,920,0,11,0,0,1,0,0,0,720,0
38,30689695154,Authentication,166,34,-70,920,0,11,0,0,0,0,0,0,0,0
39,30689748722,S1G Beacon,129,34,-36,920,3,1,,,,,,,0,0
