packet_number,tsft,frame_name,frame_len,length,dbm_antsignal,channel_freq,type,subtype,ds,frag,retry,pwrmgt,moredata,protected,duration,label
1,,S1G Beacon,129,34,-66,920,3,1,,,,,,,0,0
2,,S1G Beacon,129,34,-10,920,3,1,,,,,,,0,1
3,,S1G Beacon,61,34,-66,920,3,1,,,,,,,0,0
4,,S1G Beacon,61,34,-12,920,3,1,,,,,,,0,1
5,,S1G Beacon,129,34,-66,920,3,1,,,,,,,0,0
6,,S1G Beacon,129,34,-11,920,3,1,,,,,,,0,1
7,,S1G Beacon,61,34,-66,920,3,1,,,,,,,0,0
9,,S1G Beacon,61,34,-12,920,3,1,,,,,,,0,1
10,,S1G Beacon,129,34,-69,920,3,1,,,,,,,0,0
14,,S1G Beacon,129,34,-10,920,3,1,,,,,,,0,1
28,,S1G Beacon,61,34,-67,920,3,1,,,,,,,0,0
33,,S1G Beacon,61,34,-10,920,3,1,,,,,,,0,1
36,,S1G Beacon,129,34,-66,920,3,1,,,,,,,0,0
37,,S1G Beacon,129,34,-10,920,3,1,,,,,,,0,1
39,,S1G Beacon,61,34,-67,920,3,1,,,,,,,0,0
40,,S1G Beacon,61,34,-10,920,3,1,,,,,,,0,1
42,,S1G Beacon,129,34,-67,920,3,1,,,,,,,0,0
43,,S1G Beacon,129,34,-12,920,3,1,,,,,,,0,1
44,,S1G Beacon,61,34,-68,920,3,1,,,,,,,0,0
45,,S1G Beacon,61,34,-11,920,3,1,,,,,,,0,1
46,,S1G Beacon,129,34,-67,920,3,1,,,,,,,0,0
47,,S1G Beacon,129,34,-10,920,3,1,,,,,,,0,1
49,,RTS,54,34,0,920,1,11,,,,0,0,0,2452,0
56,,S1G Beacon,61,34,-68,920,3,1,,,,,,,0,0
60,,S1G Beacon,61,34,-12,920,3,1,,,,,,,0,1
61,,S1G Beacon,129,34,-66,920,3,1,,,,,,,0,0
62,,S1G Beacon,129,34,-10,920,3,1,,,,,,,0,1
63,,S1G Beacon,61,34,-68,920,3,1,,,,,,,0,0
64,,S1G Beacon,61,34,-9,920,3,1,,,,,,,0,1
65,,S1G Beacon,129,34,-68,920,3,1,,,,,,,0,0
67,,S1G Beacon,129,34,-10,920,3,1,,,,,,,0,1
68,,S1G Beacon,61,34,-10,920,3,1,,,,,,,0,1
69,,S1G Beacon,129,34,-72,920,3,1,,,,,,,0,0
70,,S1G Beacon,129,34,-11,920,3,1,,,,,,,0,1
77,,S1G Beacon,61,34,-66,920,3,1,,,,,,,0,0
81,,S1G Beacon,61,34,-10,920,3,1,,,,,,,0,1
83,,S1G Beacon,129,34,-67,920,3,1,,,,,,,0,0
84,,S1G Beacon,129,34,-11,920,3,1,,,,,,,0,1
85,,S1G Beacon,61,34,-66,920,3,1,,,,,,,0,0
87,,S1G Beacon,61,34,-10,920,3,1,,,,,,,0,1
88,,S1G Beacon,129,34,-10,920,3,1,,,,,,,0,1
89,,S1G Beacon,61,34,-66,920,3,1,,,,,,,0,0
90,,S1G Beacon,61,34,-10,920,3,1,,,,,,,0,1
92,,S1G Beacon,129,34,-68,920,3,1,,,,,,,0,0
93,,S1G Beacon,129,34,-10,920,3,1,,,,,,,0,1
94,,S1G Beacon,61,34,-66,920,3,1,,,,,,,0,0
105,,S1G Beacon,61,34,-10,920,3,1,,,,,,,0,1
106,,S1G Beacon,129,34,-65,920,3,1,,,,,,,0,0
107,,S1G Beacon,129,34,-10,920,3,1,,,,,,,0,1
108,,S1G Beacon,61,34,-67,920,3,1,,,,,,,0,0
110,,S1G Beacon,61,34,-11,920,3,1,,,,,,,0,1
111,,S1G Beacon,129,34,-11,920,3,1,,,,,,,0,1
112,,S1G Beacon,61,34,-71,920,3,1,,,,,,,0,0
113,,S1G Beacon,61,34,-11,920,3,1,,,,,,,0,1
114,,S1G Beacon,129,34,-68,920,3,1,,,,,,,0,0
116,,S1G Beacon,129,34,-10,920,3,1,,,,,,,0,1
117,,S1G Beacon,61,34,-69,920,3,1,,,,,,,0,0
130,,S1G Beacon,129,34,-69,920,3,1,,,,,,,0,0
135,,S1G Beacon,129,34,-10,920,3,1,,,,,,,0,1
140,,S1G Beacon,61,34,-69,920,3,1,,,,,,,0,0
144,,S1G Beacon,129,34,-68,920,3,1,,,,,,,0,0
145,,S1G Beacon,129,34,-10,920,3,1,,,,,,,0,1
147,,S1G Beacon,61,34,-69,920,3,1,,,,,,,0,0
148,,S1G Beacon,61,34,-10,920,3,1,,,,,,,0,1
149,,S1G Beacon,129,34,-71,920,3,1,,,,,,,0,0
150,,S1G Beacon,129,34,-10,920,3,1,,,,,,,0,1
