attack_type,packet Number,event_type,time_stamp,signal_strength,ssid,bssid,src,dst,reason,status,details
Dragonblood DoS,1080,Authentication,2026-06-26T11:20:36.422025000Z,-61,,78:72:64:ea:b9:14,b2:a0:26:d6:10:e0,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
,1081,Authentication,2026-06-26T11:20:36.488444000Z,-18,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,b2:a0:26:d6:10:e0,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1082,Authentication,2026-06-26T11:20:36.495004000Z,-18,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,b2:a0:26:d6:10:e0,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1083,Authentication,2026-06-26T11:20:36.501620000Z,-18,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,b2:a0:26:d6:10:e0,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1084,Authentication,2026-06-26T11:20:36.508131000Z,-18,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,b2:a0:26:d6:10:e0,,126,Unsuccessful Authentication (check status code) to Trusted AP
Dragonblood DoS,1085,Authentication,2026-06-26T11:20:36.520329000Z,-60,,78:72:64:ea:b9:14,b2:a0:26:d6:10:e0,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
,1086,Authentication,2026-06-26T11:20:36.561776000Z,-18,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,b2:a0:26:d6:10:e0,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1087,Authentication,2026-06-26T11:20:36.567243000Z,-18,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,b2:a0:26:d6:10:e0,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1088,Authentication,2026-06-26T11:20:36.574011000Z,-17,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,b2:a0:26:d6:10:e0,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1089,Authentication,2026-06-26T11:20:36.580473000Z,-18,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,b2:a0:26:d6:10:e0,,126,Unsuccessful Authentication (check status code) to Trusted AP
Dragonblood DoS,1090,Authentication,2026-06-26T11:20:36.585860000Z,-60,,78:72:64:ea:b9:14,b2:a0:26:d6:10:e0,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
,1091,Authentication,2026-06-26T11:20:36.621964000Z,-19,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,b2:a0:26:d6:10:e0,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1092,Authentication,2026-06-26T11:20:36.628686000Z,-18,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,b2:a0:26:d6:10:e0,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1094,Authentication,2026-06-26T11:20:36.643507000Z,-18,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,b2:a0:26:d6:10:e0,,126,Unsuccessful Authentication (check status code) to Trusted AP
,1095,Authentication,2026-06-26T11:20:36.650018000Z,-19,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,b2:a0:26:d6:10:e0,,126,Unsuccessful Authentication (check status code) to Trusted AP
Dragonblood DoS,1096,Authentication,2026-06-26T11:20:36.749712000Z,-61,,78:72:64:ea:b9:14,b2:a0:26:d6:10:e0,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
Dragonblood DoS,1098,Authentication,2026-06-26T11:20:36.848011000Z,-60,,78:72:64:ea:b9:14,b2:a0:26:d6:10:e0,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
