packet_number,timestamp,frame_name,frame_len,length,dbm_antsignal,channel_freq,type,subtype,ds,frag,retry,pwrmgt,moredata,protected,duration,label
2,2026-06-26T13:08:40.984274000Z,S1G Beacon,61,34,-20,920,3,1,,,,,,,0,0
4,2026-06-26T13:08:41.805311000Z,S1G Beacon,129,34,-19,920,3,1,,,,,,,0,0
5,2026-06-26T13:08:42.525156000Z,Data,287,34,-18,920,2,0,0,0,0,0,0,1,0,0
6,2026-06-26T13:08:42.622725000Z,S1G Beacon,61,34,-17,920,3,1,,,,,,,0,0
7,2026-06-26T13:08:43.443754000Z,S1G Beacon,129,34,-18,920,3,1,,,,,,,0,0
8,2026-06-26T13:08:44.005222000Z,QoS Data,149,34,-10,920,2,8,1,0,0,0,0,1,720,0
10,2026-06-26T13:08:44.008123000Z,QoS Data,149,34,-18,920,2,8,0,0,0,0,0,1,720,0
12,2026-06-26T13:08:44.013309000Z,QoS Data,131,34,-14,920,2,8,1,0,0,0,0,1,720,0
14,2026-06-26T13:08:44.015687000Z,QoS Data,131,34,-18,920,2,8,0,0,0,0,0,1,720,0
16,2026-06-26T13:08:44.185428000Z,QoS Data,128,34,-13,920,2,8,1,0,0,0,0,1,720,0
18,2026-06-26T13:08:44.187992000Z,QoS Data,128,34,-17,920,2,8,0,0,0,0,0,1,720,0
20,2026-06-26T13:08:44.261163000Z,S1G Beacon,61,34,-13,920,3,1,,,,,,,0,0
21,2026-06-26T13:08:45.082200000Z,S1G Beacon,129,34,-16,920,3,1,,,,,,,0,0
22,2026-06-26T13:08:45.549327000Z,Data,287,34,-16,920,2,0,0,0,0,0,0,1,0,0
23,2026-06-26T13:08:45.899617000Z,S1G Beacon,61,34,-16,920,3,1,,,,,,,0,0
24,2026-06-26T13:08:46.720643000Z,S1G Beacon,129,34,-16,920,3,1,,,,,,,0,0
25,2026-06-26T13:08:47.538067000Z,S1G Beacon,61,34,-15,920,3,1,,,,,,,0,0
