attack_type,packet Number,event_type,time_stamp,signal_strength,ssid,bssid,src,dst,reason,status,details
Dragonblood DoS,14,Authentication,2026-07-06T16:57:24.763319000Z,-69,,78:72:64:ea:b9:14,22:8c:a0:f5:24:51,78:72:64:ea:b9:14,,0,Attacker is Sending Authentication request to trusted AP
Dragonblood DoS,15,Authentication,2026-07-06T16:57:24.861626000Z,-68,,78:72:64:ea:b9:14,3a:d4:ed:0a:ec:d1,78:72:64:ea:b9:14,,0,Attacker is Sending Authentication request to trusted AP
,16,Authentication,2026-07-06T16:57:24.912398000Z,-30,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,22:8c:a0:f5:24:51,,0,Successful Authentication to Trusted AP
,17,Authentication,2026-07-06T16:57:24.918341000Z,-30,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,22:8c:a0:f5:24:51,,0,Successful Authentication to Trusted AP
,18,Authentication,2026-07-06T16:57:24.924380000Z,-29,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,22:8c:a0:f5:24:51,,0,Successful Authentication to Trusted AP
,19,Authentication,2026-07-06T16:57:24.930164000Z,-31,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,22:8c:a0:f5:24:51,,0,Successful Authentication to Trusted AP
Dragonblood DoS,25,Authentication,2026-07-06T16:57:24.992703000Z,-69,,78:72:64:ea:b9:14,c6:65:16:b6:29:fa,78:72:64:ea:b9:14,,0,Attacker is Sending Authentication request to trusted AP
Dragonblood DoS,27,Authentication,2026-07-06T16:57:25.123779000Z,-68,,78:72:64:ea:b9:14,f2:fa:e3:29:ee:87,78:72:64:ea:b9:14,,0,Attacker is Sending Authentication request to trusted AP
,28,Authentication,2026-07-06T16:57:25.134186000Z,-29,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,3a:d4:ed:0a:ec:d1,,0,Successful Authentication to Trusted AP
,29,Authentication,2026-07-06T16:57:25.140185000Z,-30,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,3a:d4:ed:0a:ec:d1,,0,Successful Authentication to Trusted AP
,30,Authentication,2026-07-06T16:57:25.145967000Z,-30,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,3a:d4:ed:0a:ec:d1,,0,Successful Authentication to Trusted AP
,31,Authentication,2026-07-06T16:57:25.151802000Z,-29,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,3a:d4:ed:0a:ec:d1,,0,Successful Authentication to Trusted AP
Dragonblood DoS,32,Authentication,2026-07-06T16:57:25.254850000Z,-69,,78:72:64:ea:b9:14,22:8c:a0:f5:24:51,78:72:64:ea:b9:14,,0,Attacker is Sending Authentication request to trusted AP
Dragonblood DoS,33,Authentication,2026-07-06T16:57:25.385935000Z,-69,,78:72:64:ea:b9:14,3a:d4:ed:0a:ec:d1,78:72:64:ea:b9:14,,0,Attacker is Sending Authentication request to trusted AP
,34,Authentication,2026-07-06T16:57:25.485450000Z,-30,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,c6:65:16:b6:29:fa,,0,Successful Authentication to Trusted AP
,35,Authentication,2026-07-06T16:57:25.491271000Z,-31,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,c6:65:16:b6:29:fa,,0,Successful Authentication to Trusted AP
,36,Authentication,2026-07-06T16:57:25.497253000Z,-32,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,c6:65:16:b6:29:fa,,0,Successful Authentication to Trusted AP
,37,Authentication,2026-07-06T16:57:25.503037000Z,-31,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,c6:65:16:b6:29:fa,,0,Successful Authentication to Trusted AP
Dragonblood DoS,38,Authentication,2026-07-06T16:57:25.517000000Z,-69,,78:72:64:ea:b9:14,c6:65:16:b6:29:fa,78:72:64:ea:b9:14,,0,Attacker is Sending Authentication request to trusted AP
Dragonblood DoS,39,Authentication,2026-07-06T16:57:25.633737000Z,-71,,78:72:64:ea:b9:14,f2:fa:e3:29:ee:87,78:72:64:ea:b9:14,,0,Attacker is Sending Authentication request to trusted AP
,40,Authentication,2026-07-06T16:57:25.702566000Z,-31,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,f2:fa:e3:29:ee:87,,0,Successful Authentication to Trusted AP
,41,Authentication,2026-07-06T16:57:25.708608000Z,-30,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,f2:fa:e3:29:ee:87,,0,Successful Authentication to Trusted AP
,42,Authentication,2026-07-06T16:57:25.714495000Z,-30,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,f2:fa:e3:29:ee:87,,0,Successful Authentication to Trusted AP
,43,Authentication,2026-07-06T16:57:25.720226000Z,-31,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,f2:fa:e3:29:ee:87,,0,Successful Authentication to Trusted AP
Dragonblood DoS,44,Authentication,2026-07-06T16:57:25.746383000Z,-70,,78:72:64:ea:b9:14,22:8c:a0:f5:24:51,78:72:64:ea:b9:14,,0,Attacker is Sending Authentication request to trusted AP
,45,Authentication,2026-07-06T16:57:25.777189000Z,-31,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,22:8c:a0:f5:24:51,,0,Successful Authentication to Trusted AP
,46,Authentication,2026-07-06T16:57:25.783026000Z,-30,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,22:8c:a0:f5:24:51,,0,Successful Authentication to Trusted AP
,47,Authentication,2026-07-06T16:57:25.788707000Z,-30,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,22:8c:a0:f5:24:51,,0,Successful Authentication to Trusted AP
,48,Authentication,2026-07-06T16:57:25.794489000Z,-30,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,22:8c:a0:f5:24:51,,0,Successful Authentication to Trusted AP
,49,Authentication,2026-07-06T16:57:25.835168000Z,-30,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,3a:d4:ed:0a:ec:d1,,0,Successful Authentication to Trusted AP
,50,Authentication,2026-07-06T16:57:25.840899000Z,-30,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,3a:d4:ed:0a:ec:d1,,0,Successful Authentication to Trusted AP
,51,Authentication,2026-07-06T16:57:25.846788000Z,-30,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,3a:d4:ed:0a:ec:d1,,0,Successful Authentication to Trusted AP
,52,Authentication,2026-07-06T16:57:25.852778000Z,-29,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,3a:d4:ed:0a:ec:d1,,0,Successful Authentication to Trusted AP
Dragonblood DoS,54,Authentication,2026-07-06T16:57:25.877452000Z,-71,,78:72:64:ea:b9:14,3a:d4:ed:0a:ec:d1,78:72:64:ea:b9:14,,0,Attacker is Sending Authentication request to trusted AP
,55,Authentication,2026-07-06T16:57:25.910071000Z,-29,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,c6:65:16:b6:29:fa,,0,Successful Authentication to Trusted AP
,56,Authentication,2026-07-06T16:57:25.915807000Z,-30,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,c6:65:16:b6:29:fa,,0,Successful Authentication to Trusted AP
,57,Authentication,2026-07-06T16:57:25.921699000Z,-30,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,c6:65:16:b6:29:fa,,0,Successful Authentication to Trusted AP
,58,Authentication,2026-07-06T16:57:25.927482000Z,-29,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,c6:65:16:b6:29:fa,,0,Successful Authentication to Trusted AP
,59,Authentication,2026-07-06T16:57:25.968540000Z,-30,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,f2:fa:e3:29:ee:87,,0,Successful Authentication to Trusted AP
,60,Authentication,2026-07-06T16:57:25.974435000Z,-29,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,f2:fa:e3:29:ee:87,,0,Successful Authentication to Trusted AP
,61,Authentication,2026-07-06T16:57:25.980172000Z,-30,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,f2:fa:e3:29:ee:87,,0,Successful Authentication to Trusted AP
,62,Authentication,2026-07-06T16:57:25.985893000Z,-31,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,f2:fa:e3:29:ee:87,,0,Successful Authentication to Trusted AP
Dragonblood DoS,63,Authentication,2026-07-06T16:57:26.008537000Z,-71,,78:72:64:ea:b9:14,c6:65:16:b6:29:fa,78:72:64:ea:b9:14,,0,Attacker is Sending Authentication request to trusted AP
,64,Authentication,2026-07-06T16:57:26.043139000Z,-31,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,22:8c:a0:f5:24:51,,0,Successful Authentication to Trusted AP
,65,Authentication,2026-07-06T16:57:26.049036000Z,-32,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,22:8c:a0:f5:24:51,,0,Successful Authentication to Trusted AP
,66,Authentication,2026-07-06T16:57:26.054817000Z,-31,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,22:8c:a0:f5:24:51,,0,Successful Authentication to Trusted AP
,67,Authentication,2026-07-06T16:57:26.060501000Z,-31,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,22:8c:a0:f5:24:51,,0,Successful Authentication to Trusted AP
,68,Authentication,2026-07-06T16:57:26.102545000Z,-33,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,3a:d4:ed:0a:ec:d1,,0,Successful Authentication to Trusted AP
,69,Authentication,2026-07-06T16:57:26.108491000Z,-31,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,3a:d4:ed:0a:ec:d1,,0,Successful Authentication to Trusted AP
,70,Authentication,2026-07-06T16:57:26.114426000Z,-32,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,3a:d4:ed:0a:ec:d1,,0,Successful Authentication to Trusted AP
,71,Authentication,2026-07-06T16:57:26.120163000Z,-32,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,3a:d4:ed:0a:ec:d1,,0,Successful Authentication to Trusted AP
Dragonblood DoS,72,Authentication,2026-07-06T16:57:26.139605000Z,-70,,78:72:64:ea:b9:14,f2:fa:e3:29:ee:87,78:72:64:ea:b9:14,,0,Attacker is Sending Authentication request to trusted AP
,73,Authentication,2026-07-06T16:57:26.177059000Z,-33,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,c6:65:16:b6:29:fa,,0,Successful Authentication to Trusted AP
,74,Authentication,2026-07-06T16:57:26.182839000Z,-32,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,c6:65:16:b6:29:fa,,0,Successful Authentication to Trusted AP
,75,Authentication,2026-07-06T16:57:26.188576000Z,-32,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,c6:65:16:b6:29:fa,,0,Successful Authentication to Trusted AP
,76,Authentication,2026-07-06T16:57:26.194349000Z,-31,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,c6:65:16:b6:29:fa,,0,Successful Authentication to Trusted AP
,77,Authentication,2026-07-06T16:57:26.235977000Z,-31,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,f2:fa:e3:29:ee:87,,0,Successful Authentication to Trusted AP
,78,Authentication,2026-07-06T16:57:26.241906000Z,-31,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,f2:fa:e3:29:ee:87,,0,Successful Authentication to Trusted AP
,79,Authentication,2026-07-06T16:57:26.246913000Z,-31,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,f2:fa:e3:29:ee:87,,0,Successful Authentication to Trusted AP
,80,Authentication,2026-07-06T16:57:26.252223000Z,-31,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,f2:fa:e3:29:ee:87,,0,Successful Authentication to Trusted AP
Dragonblood DoS,81,Authentication,2026-07-06T16:57:26.270688000Z,-71,,78:72:64:ea:b9:14,22:8c:a0:f5:24:51,78:72:64:ea:b9:14,,0,Attacker is Sending Authentication request to trusted AP
,82,Authentication,2026-07-06T16:57:26.311056000Z,-30,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,22:8c:a0:f5:24:51,,0,Successful Authentication to Trusted AP
,83,Authentication,2026-07-06T16:57:26.316853000Z,-31,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,22:8c:a0:f5:24:51,,0,Successful Authentication to Trusted AP
,84,Authentication,2026-07-06T16:57:26.322784000Z,-29,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,22:8c:a0:f5:24:51,,0,Successful Authentication to Trusted AP
,85,Authentication,2026-07-06T16:57:26.328733000Z,-32,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,22:8c:a0:f5:24:51,,0,Successful Authentication to Trusted AP
Dragonblood DoS,86,Authentication,2026-07-06T16:57:26.401764000Z,-71,,78:72:64:ea:b9:14,3a:d4:ed:0a:ec:d1,78:72:64:ea:b9:14,,0,Attacker is Sending Authentication request to trusted AP
,87,Authentication,2026-07-06T16:57:26.412332000Z,-31,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,3a:d4:ed:0a:ec:d1,,0,Successful Authentication to Trusted AP
,88,Authentication,2026-07-06T16:57:26.418110000Z,-31,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,3a:d4:ed:0a:ec:d1,,0,Successful Authentication to Trusted AP
,89,Authentication,2026-07-06T16:57:26.429847000Z,-29,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,3a:d4:ed:0a:ec:d1,,0,Successful Authentication to Trusted AP
Dragonblood DoS,91,Authentication,2026-07-06T16:57:26.532839000Z,-69,,78:72:64:ea:b9:14,c6:65:16:b6:29:fa,78:72:64:ea:b9:14,,0,Attacker is Sending Authentication request to trusted AP
,92,Authentication,2026-07-06T16:57:26.542567000Z,-32,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,c6:65:16:b6:29:fa,,0,Successful Authentication to Trusted AP
,93,Authentication,2026-07-06T16:57:26.548467000Z,-30,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,c6:65:16:b6:29:fa,,0,Successful Authentication to Trusted AP
,94,Authentication,2026-07-06T16:57:26.554865000Z,-31,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,c6:65:16:b6:29:fa,,0,Successful Authentication to Trusted AP
,95,Authentication,2026-07-06T16:57:26.560708000Z,-30,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,c6:65:16:b6:29:fa,,0,Successful Authentication to Trusted AP
Dragonblood DoS,96,Authentication,2026-07-06T16:57:26.657760000Z,-68,,78:72:64:ea:b9:14,f2:fa:e3:29:ee:87,78:72:64:ea:b9:14,,0,Attacker is Sending Authentication request to trusted AP
,98,Authentication,2026-07-06T16:57:26.693817000Z,-32,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,f2:fa:e3:29:ee:87,,0,Successful Authentication to Trusted AP
,99,Authentication,2026-07-06T16:57:26.699548000Z,-30,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,f2:fa:e3:29:ee:87,,0,Successful Authentication to Trusted AP
,100,Authentication,2026-07-06T16:57:26.705227000Z,-30,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,f2:fa:e3:29:ee:87,,0,Successful Authentication to Trusted AP
,101,Authentication,2026-07-06T16:57:26.711116000Z,-31,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,f2:fa:e3:29:ee:87,,0,Successful Authentication to Trusted AP
Dragonblood DoS,102,Authentication,2026-07-06T16:57:26.762212000Z,-68,,78:72:64:ea:b9:14,22:8c:a0:f5:24:51,78:72:64:ea:b9:14,,0,Attacker is Sending Authentication request to trusted AP
,103,Authentication,2026-07-06T16:57:26.768767000Z,-31,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,22:8c:a0:f5:24:51,,0,Successful Authentication to Trusted AP
,104,Authentication,2026-07-06T16:57:26.774760000Z,-31,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,22:8c:a0:f5:24:51,,0,Successful Authentication to Trusted AP
,105,Authentication,2026-07-06T16:57:26.780647000Z,-31,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,22:8c:a0:f5:24:51,,0,Successful Authentication to Trusted AP
,106,Authentication,2026-07-06T16:57:26.786326000Z,-32,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,22:8c:a0:f5:24:51,,0,Successful Authentication to Trusted AP
Dragonblood DoS,107,Authentication,2026-07-06T16:57:26.893288000Z,-70,,78:72:64:ea:b9:14,3a:d4:ed:0a:ec:d1,78:72:64:ea:b9:14,,0,Attacker is Sending Authentication request to trusted AP
,108,Authentication,2026-07-06T16:57:26.899543000Z,-30,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,3a:d4:ed:0a:ec:d1,,0,Successful Authentication to Trusted AP
,109,Authentication,2026-07-06T16:57:26.904962000Z,-32,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,3a:d4:ed:0a:ec:d1,,0,Successful Authentication to Trusted AP
,110,Authentication,2026-07-06T16:57:26.910692000Z,-31,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,3a:d4:ed:0a:ec:d1,,0,Successful Authentication to Trusted AP
,111,Authentication,2026-07-06T16:57:26.916528000Z,-30,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,3a:d4:ed:0a:ec:d1,,0,Successful Authentication to Trusted AP
Dragonblood DoS,112,Authentication,2026-07-06T16:57:27.024366000Z,-69,,78:72:64:ea:b9:14,c6:65:16:b6:29:fa,78:72:64:ea:b9:14,,0,Attacker is Sending Authentication request to trusted AP
,113,Authentication,2026-07-06T16:57:27.030875000Z,-29,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,c6:65:16:b6:29:fa,,0,Successful Authentication to Trusted AP
,114,Authentication,2026-07-06T16:57:27.036714000Z,-31,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,c6:65:16:b6:29:fa,,0,Successful Authentication to Trusted AP
,115,Authentication,2026-07-06T16:57:27.042394000Z,-30,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,c6:65:16:b6:29:fa,,0,Successful Authentication to Trusted AP
,116,Authentication,2026-07-06T16:57:27.048439000Z,-31,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,c6:65:16:b6:29:fa,,0,Successful Authentication to Trusted AP
Dragonblood DoS,117,Authentication,2026-07-06T16:57:27.155435000Z,-69,,78:72:64:ea:b9:14,f2:fa:e3:29:ee:87,78:72:64:ea:b9:14,,0,Attacker is Sending Authentication request to trusted AP
,118,Authentication,2026-07-06T16:57:27.161745000Z,-33,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,f2:fa:e3:29:ee:87,,0,Successful Authentication to Trusted AP
,119,Authentication,2026-07-06T16:57:27.167473000Z,-32,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,f2:fa:e3:29:ee:87,,0,Successful Authentication to Trusted AP
,120,Authentication,2026-07-06T16:57:27.173518000Z,-32,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,f2:fa:e3:29:ee:87,,0,Successful Authentication to Trusted AP
,121,Authentication,2026-07-06T16:57:27.179509000Z,-33,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,f2:fa:e3:29:ee:87,,0,Successful Authentication to Trusted AP
