host_timestamp,local_time,esp32_uptime_us,cpu_used_pct,ram_used_pct,tcp_disconnects
1781189945.883185,2026-06-11 16:59:05,4013253723,1.38,19.86,0
1781189950.885765,2026-06-11 16:59:10,4018260721,1.39,19.86,0
1781189955.892749,2026-06-11 16:59:15,4023267721,1.37,19.86,0
1781189960.901582,2026-06-11 16:59:20,4028274721,1.58,19.86,0
1781189965.905061,2026-06-11 16:59:25,4033281725,1.43,19.86,0
1781189970.911964,2026-06-11 16:59:30,4038288723,1.38,19.86,0
1781189975.9289632,2026-06-11 16:59:35,4043295725,1.38,19.86,0
1781189980.936353,2026-06-11 16:59:40,4048302723,1.51,19.86,0
1781189985.937023,2026-06-11 16:59:45,4053309723,1.63,19.86,0
1781189990.950388,2026-06-11 16:59:50,4058316723,1.42,19.86,0
1781189995.950517,2026-06-11 16:59:55,4063323723,1.4,19.86,0
1781190000.955014,2026-06-11 17:00:00,4068330766,1.4,19.86,0
1781190005.9604568,2026-06-11 17:00:05,4073337723,1.6,19.86,0
1781190010.9712372,2026-06-11 17:00:10,4078344725,1.4,19.86,0
1781190015.9853911,2026-06-11 17:00:15,4083351725,1.36,19.86,0
1781190020.983196,2026-06-11 17:00:20,4088358721,1.3,19.86,0
1781190025.9905229,2026-06-11 17:00:25,4093365723,1.57,19.86,0
1781190030.9973052,2026-06-11 17:00:30,4098372723,1.26,19.86,0
1781190036.0072918,2026-06-11 17:00:36,4103379786,1.47,19.86,0
1781190041.0172758,2026-06-11 17:00:41,4108386725,1.32,19.86,0
1781190046.0264509,2026-06-11 17:00:46,4113393723,1.54,19.86,0
1781190051.027871,2026-06-11 17:00:51,4118400723,1.29,19.86,0
1781190056.0374908,2026-06-11 17:00:56,4123407725,1.34,19.86,0
1781190061.045901,2026-06-11 17:01:01,4128414725,1.36,19.86,0
1781190066.048432,2026-06-11 17:01:06,4133421721,1.64,19.86,0
1781190071.0531042,2026-06-11 17:01:11,4138428723,1.35,19.86,0
1781190076.066507,2026-06-11 17:01:16,4143435723,1.31,19.86,0
1781190081.072949,2026-06-11 17:01:21,4148442723,1.35,19.86,0
1781190086.074731,2026-06-11 17:01:26,4153449725,1.56,19.86,0
1781190091.085331,2026-06-11 17:01:31,4158456723,1.36,19.86,0
1781190096.096753,2026-06-11 17:01:36,4163463723,1.27,19.86,0
1781190101.09445,2026-06-11 17:01:41,4168470723,1.28,19.86,0
1781190106.10016,2026-06-11 17:01:46,4173477723,1.3,19.86,0
1781190111.135665,2026-06-11 17:01:51,4178484727,1.48,20.35,0
1781190116.114829,2026-06-11 17:01:56,4183491721,1.25,19.86,0
1781190121.122726,2026-06-11 17:02:01,4188498820,1.27,19.86,0
1781190126.137202,2026-06-11 17:02:06,4193505723,1.39,19.86,0
1781190131.135017,2026-06-11 17:02:11,4198512723,1.57,19.86,0
