host_timestamp,local_time,esp32_uptime_us,cpu_used_pct,ram_used_pct,tcp_disconnects
1781189564.9031522,2026-06-11 16:52:44,3602660026,1.61,19.95,0
1781189569.911105,2026-06-11 16:52:49,3607667026,1.36,19.95,0
1781189574.915036,2026-06-11 16:52:54,3612674026,1.41,19.95,0
1781189579.929418,2026-06-11 16:52:59,3617681026,1.39,19.95,0
1781189584.936613,2026-06-11 16:53:04,3622688026,1.7,19.95,0
1781189589.943336,2026-06-11 16:53:09,3627695026,1.42,19.95,0
1781189594.943267,2026-06-11 16:53:14,3632702026,1.37,19.95,0
1781189599.951477,2026-06-11 16:53:19,3637709026,1.41,19.95,0
1781189604.9550169,2026-06-11 16:53:24,3642716028,1.64,19.95,0
1781189609.969804,2026-06-11 16:53:29,3647723028,1.38,19.95,0
1781189614.968645,2026-06-11 16:53:34,3652730028,1.34,19.95,0
1781189619.979424,2026-06-11 16:53:39,3657737026,1.37,19.95,0
1781189624.984601,2026-06-11 16:53:44,3662744028,1.59,19.95,0
1781189629.9915578,2026-06-11 16:53:49,3667751028,1.4,19.95,0
1781189635.001638,2026-06-11 16:53:55,3672758028,1.36,19.95,0
1781189640.006146,2026-06-11 16:54:00,3677765028,1.39,19.95,0
1781189645.014611,2026-06-11 16:54:05,3682772026,1.54,19.95,0
1781189650.0250182,2026-06-11 16:54:10,3687779026,1.39,19.95,0
1781189655.0269928,2026-06-11 16:54:15,3692786026,1.36,19.95,0
1781189660.0350668,2026-06-11 16:54:20,3697793026,1.45,19.95,0
1781189665.04071,2026-06-11 16:54:25,3702800026,1.43,19.95,0
1781189670.053018,2026-06-11 16:54:30,3707807026,1.66,19.95,0
1781189675.057847,2026-06-11 16:54:35,3712814026,1.38,19.95,0
1781189680.061515,2026-06-11 16:54:40,3717821026,1.4,19.95,0
1781189685.070787,2026-06-11 16:54:45,3722828028,1.46,19.95,0
1781189690.079089,2026-06-11 16:54:50,3727835026,1.72,19.95,0
1781189695.0910451,2026-06-11 16:54:55,3732842028,1.44,19.95,0
1781189700.088982,2026-06-11 16:55:00,3737849026,1.4,19.95,0
1781189705.094078,2026-06-11 16:55:05,3742856026,1.39,19.95,0
1781189710.1064,2026-06-11 16:55:10,3747863027,1.62,19.95,0
1781189715.108497,2026-06-11 16:55:15,3752870026,1.36,19.95,0
1781189720.126691,2026-06-11 16:55:20,3757877026,1.45,19.95,0
1781189725.130292,2026-06-11 16:55:25,3762884030,1.41,19.95,0
1781189730.1297762,2026-06-11 16:55:30,3767891027,1.64,19.95,0
1781189735.138607,2026-06-11 16:55:35,3772898026,1.38,19.95,0
1781189740.146215,2026-06-11 16:55:40,3777905028,1.41,19.95,0
1781189745.158402,2026-06-11 16:55:45,3782912026,1.45,19.95,0
1781189750.16214,2026-06-11 16:55:50,3787919026,1.58,19.95,0
1781189755.173855,2026-06-11 16:55:55,3792926028,1.47,19.95,0
1781189760.1715221,2026-06-11 16:56:00,3797933030,1.46,19.95,0
1781189765.179167,2026-06-11 16:56:05,3802940028,1.39,19.95,0
1781189770.1840231,2026-06-11 16:56:10,3807947028,1.38,19.95,0
1781189775.202663,2026-06-11 16:56:15,3812954030,1.58,19.95,0
1781189780.20632,2026-06-11 16:56:20,3817961028,1.39,19.95,0
1781189785.207497,2026-06-11 16:56:25,3822968028,1.41,19.95,0
1781189790.212262,2026-06-11 16:56:30,3827975028,1.39,19.95,0
1781189795.221498,2026-06-11 16:56:35,3832982028,1.64,19.95,0
1781189800.2349381,2026-06-11 16:56:40,3837989028,1.47,19.95,0
1781189805.2424169,2026-06-11 16:56:45,3842996028,1.46,19.95,0
1781189810.24175,2026-06-11 16:56:50,3848003028,1.42,19.95,0
1781189815.249224,2026-06-11 16:56:55,3853010028,1.71,19.95,0
1781189820.2596748,2026-06-11 16:57:00,3858017026,1.44,19.95,0
1781189825.264796,2026-06-11 16:57:05,3863024030,1.44,19.95,0
1781189830.274538,2026-06-11 16:57:10,3868031030,1.43,19.95,0
1781189835.28605,2026-06-11 16:57:15,3873038026,1.68,19.95,0
1781189840.291998,2026-06-11 16:57:20,3878045030,1.44,19.95,0
1781189845.29205,2026-06-11 16:57:25,3883052030,1.46,19.95,0
1781189850.304606,2026-06-11 16:57:30,3888059026,1.4,19.95,0
1781189855.310669,2026-06-11 16:57:35,3893066026,1.59,19.95,0
1781189860.315916,2026-06-11 16:57:40,3898073027,1.49,19.95,0
1781189865.3188748,2026-06-11 16:57:45,3903080026,1.43,19.95,0
1781189870.323307,2026-06-11 16:57:50,3908087026,1.4,19.95,0
1781189875.3358788,2026-06-11 16:57:55,3913094026,1.5,19.95,0
1781189880.337733,2026-06-11 16:58:00,3918101026,1.62,19.95,0
1781189885.349426,2026-06-11 16:58:05,3923108030,1.44,19.95,0
1781189890.361814,2026-06-11 16:58:10,3928115028,1.41,19.95,0
1781189895.3617768,2026-06-11 16:58:15,3933122026,1.42,19.95,0
1781189900.3738859,2026-06-11 16:58:20,3938129030,1.69,19.95,0
1781189905.381887,2026-06-11 16:58:25,3943136028,1.47,19.95,0
1781189910.381833,2026-06-11 16:58:30,3948143028,1.41,19.95,0
1781189915.390647,2026-06-11 16:58:35,3953150028,1.41,19.95,0
1781189920.396363,2026-06-11 16:58:40,3958157028,1.65,19.95,0
1781189925.410372,2026-06-11 16:58:45,3963164028,1.4,19.95,0
1781189930.405252,2026-06-11 16:58:50,3968171030,1.37,19.95,0
1781189935.418946,2026-06-11 16:58:55,3973178026,1.46,19.95,0
1781189940.430043,2026-06-11 16:59:00,3978185028,1.68,19.95,0
1781189945.43359,2026-06-11 16:59:05,3983192030,1.44,19.95,0
1781189950.4342148,2026-06-11 16:59:10,3988199026,1.43,19.95,0
1781189955.4423292,2026-06-11 16:59:15,3993206028,1.41,19.95,0
1781189960.454377,2026-06-11 16:59:20,3998213026,1.71,19.95,0
1781189965.46161,2026-06-11 16:59:25,4003220026,1.5,19.95,0
1781189970.464832,2026-06-11 16:59:30,4008227030,1.39,19.95,0
1781189975.479309,2026-06-11 16:59:35,4013234030,1.37,19.95,0
1781189980.48112,2026-06-11 16:59:40,4018241026,1.48,19.95,0
1781189985.48879,2026-06-11 16:59:45,4023248030,1.73,19.95,0
1781189990.4906309,2026-06-11 16:59:50,4028255030,1.4,19.95,0
1781189995.496522,2026-06-11 16:59:55,4033262026,1.5,19.95,0
1781190000.5106618,2026-06-11 17:00:00,4038269030,1.46,19.95,0
1781190005.515445,2026-06-11 17:00:05,4043276030,1.7,19.95,0
1781190010.526295,2026-06-11 17:00:10,4048283026,1.43,19.95,0
1781190015.530051,2026-06-11 17:00:15,4053290030,1.43,19.95,0
1781190020.53496,2026-06-11 17:00:20,4058297030,1.45,19.95,0
1781190025.545088,2026-06-11 17:00:25,4063304026,1.7,19.95,0
1781190030.5495229,2026-06-11 17:00:30,4068311030,1.41,19.95,0
1781190035.556127,2026-06-11 17:00:35,4073318028,1.57,19.95,0
1781190040.562779,2026-06-11 17:00:40,4078325026,1.47,19.95,0
1781190045.5740302,2026-06-11 17:00:45,4083332030,1.68,19.95,0
1781190050.5789561,2026-06-11 17:00:50,4088339028,1.38,19.95,0
1781190055.586611,2026-06-11 17:00:55,4093346026,1.43,19.95,0
1781190060.590875,2026-06-11 17:01:00,4098353030,1.38,19.95,0
1781190065.596542,2026-06-11 17:01:05,4103360026,1.62,19.95,0
1781190070.606226,2026-06-11 17:01:10,4108367030,1.31,19.95,0
1781190075.612417,2026-06-11 17:01:15,4113374030,1.35,19.95,0
1781190080.614337,2026-06-11 17:01:20,4118381028,1.38,19.95,0
1781190085.628266,2026-06-11 17:01:25,4123388026,1.42,19.95,0
1781190090.636607,2026-06-11 17:01:30,4128395030,1.49,19.95,0
1781190095.6378372,2026-06-11 17:01:35,4133402028,1.37,19.95,0
1781190100.646602,2026-06-11 17:01:40,4138409030,1.38,19.95,0
1781190105.652147,2026-06-11 17:01:45,4143416030,1.47,19.95,0
1781190110.6623769,2026-06-11 17:01:50,4148423028,1.6,20.39,0
1781190115.6718059,2026-06-11 17:01:55,4153430024,1.27,19.95,0
1781190120.6798131,2026-06-11 17:02:00,4158437026,1.37,19.95,0
1781190125.684148,2026-06-11 17:02:05,4163444026,1.41,19.95,0
1781190130.682924,2026-06-11 17:02:10,4168451026,1.59,19.95,0
1781190135.698684,2026-06-11 17:02:15,4173458026,1.39,19.95,0
1781190140.6973498,2026-06-11 17:02:20,4178465026,1.4,19.95,0
1781190145.706781,2026-06-11 17:02:25,4183472026,1.4,19.95,0
1781190150.7117682,2026-06-11 17:02:30,4188479026,1.6,19.95,0
1781190155.7277598,2026-06-11 17:02:35,4193486026,1.42,19.95,0
1781190160.734891,2026-06-11 17:02:40,4198493026,1.34,19.95,0
1781190165.734855,2026-06-11 17:02:45,4203500026,1.34,19.95,0
1781190170.74988,2026-06-11 17:02:50,4208507026,1.58,19.95,0
1781190175.7526422,2026-06-11 17:02:55,4213514026,1.39,19.95,0
1781190180.760413,2026-06-11 17:03:00,4218521028,1.44,19.95,0
1781190185.767531,2026-06-11 17:03:05,4223528026,1.47,19.95,0
1781190190.775614,2026-06-11 17:03:10,4228535026,1.53,19.95,0
1781190195.7739892,2026-06-11 17:03:15,4233542026,1.54,19.95,0
1781190200.782042,2026-06-11 17:03:20,4238549026,1.42,19.95,0
1781190205.7922509,2026-06-11 17:03:25,4243556026,1.39,19.95,0
1781190210.800578,2026-06-11 17:03:30,4248563026,1.33,19.95,0
1781190215.802737,2026-06-11 17:03:35,4253570026,1.61,19.95,0
1781190220.8182452,2026-06-11 17:03:40,4258577026,1.4,19.95,0
1781190225.819608,2026-06-11 17:03:45,4263584026,1.38,19.95,0
1781190230.832114,2026-06-11 17:03:50,4268591026,1.3,19.95,0
1781190235.832741,2026-06-11 17:03:55,4273598026,1.62,19.95,0
1781190240.840578,2026-06-11 17:04:00,4278605026,1.39,19.95,0
1781190245.849202,2026-06-11 17:04:05,4283612026,1.44,19.95,0
1781190250.853156,2026-06-11 17:04:10,4288619026,1.38,19.95,0
