packet_number,tsft,frame_name,frame_len,length,dbm_antsignal,channel_freq,type,subtype,ds,frag,retry,pwrmgt,moredata,protected,duration,label
2,,S1G Beacon,61,34,-12,920,3,1,,,,,,,0,1
9,,S1G Beacon,129,34,-10,920,3,1,,,,,,,0,1
10,,S1G Beacon,129,34,-66,920,3,1,,,,,,,0,0
12,,S1G Beacon,61,34,-11,920,3,1,,,,,,,0,1
13,,S1G Beacon,61,34,-64,920,3,1,,,,,,,0,0
20,,S1G Beacon,129,34,-11,920,3,1,,,,,,,0,1
22,,S1G Beacon,129,34,-65,920,3,1,,,,,,,0,0
23,,S1G Beacon,61,34,-11,920,3,1,,,,,,,0,1
24,,S1G Beacon,61,34,-66,920,3,1,,,,,,,0,0
25,,S1G Beacon,129,34,-10,920,3,1,,,,,,,0,1
26,,S1G Beacon,129,34,-66,920,3,1,,,,,,,0,0
27,,S1G Beacon,61,34,-13,920,3,1,,,,,,,0,1
28,,S1G Beacon,61,34,-66,920,3,1,,,,,,,0,0
30,,S1G Beacon,129,34,-12,920,3,1,,,,,,,0,1
32,,S1G Beacon,129,34,-65,920,3,1,,,,,,,0,0
33,,S1G Beacon,61,34,-12,920,3,1,,,,,,,0,1
34,,S1G Beacon,61,34,-65,920,3,1,,,,,,,0,0
44,,S1G Beacon,129,34,-13,920,3,1,,,,,,,0,1
45,,S1G Beacon,129,34,-66,920,3,1,,,,,,,0,0
46,,S1G Beacon,61,34,-11,920,3,1,,,,,,,0,1
47,,S1G Beacon,61,34,-66,920,3,1,,,,,,,0,0
50,,S1G Beacon,129,34,-12,920,3,1,,,,,,,0,1
51,,S1G Beacon,129,34,-66,920,3,1,,,,,,,0,0
52,,S1G Beacon,61,34,-13,920,3,1,,,,,,,0,1
53,,S1G Beacon,61,34,-65,920,3,1,,,,,,,0,0
54,,S1G Beacon,129,34,-11,920,3,1,,,,,,,0,1
55,,S1G Beacon,129,34,-66,920,3,1,,,,,,,0,0
56,,S1G Beacon,61,34,-12,920,3,1,,,,,,,0,1
58,,S1G Beacon,61,34,-65,920,3,1,,,,,,,0,0
69,,S1G Beacon,129,34,-11,920,3,1,,,,,,,0,1
70,,S1G Beacon,129,34,-64,920,3,1,,,,,,,0,0
71,,S1G Beacon,61,34,-11,920,3,1,,,,,,,0,1
72,,S1G Beacon,61,34,-63,920,3,1,,,,,,,0,0
74,,S1G Beacon,129,34,-12,920,3,1,,,,,,,0,1
75,,S1G Beacon,129,34,-64,920,3,1,,,,,,,0,0
76,,S1G Beacon,61,34,-12,920,3,1,,,,,,,0,1
77,,S1G Beacon,61,34,-63,920,3,1,,,,,,,0,0
79,,S1G Beacon,129,34,-13,920,3,1,,,,,,,0,1
80,,S1G Beacon,129,34,-63,920,3,1,,,,,,,0,0
81,,S1G Beacon,61,34,-11,920,3,1,,,,,,,0,1
82,,S1G Beacon,61,34,-65,920,3,1,,,,,,,0,0
85,,RTS,54,34,0,920,1,11,,,,0,0,0,2452,0
87,,RTS,54,34,0,920,1,11,,,,0,0,0,2452,0
89,,RTS,54,34,0,920,1,11,,,,0,0,0,2488,0
91,,RTS,54,34,0,920,1,11,,,,0,0,0,2488,0
93,,RTS,54,34,0,920,1,11,,,,0,0,0,2596,0
95,,RTS,54,34,0,920,1,11,,,,0,0,0,2596,0
97,,S1G Beacon,129,34,-11,920,3,1,,,,,,,0,1
98,,QoS Null,64,34,0,920,2,12,1,0,0,0,0,0,720,0
100,,S1G Beacon,129,34,-64,920,3,1,,,,,,,0,0
102,,S1G Beacon,61,34,-11,920,3,1,,,,,,,0,1
103,,S1G Beacon,61,34,-65,920,3,1,,,,,,,0,0
104,,RTS,54,34,0,920,1,11,,,,0,0,0,2416,0
115,,S1G Beacon,129,34,-10,920,3,1,,,,,,,0,1
116,,S1G Beacon,129,34,-64,920,3,1,,,,,,,0,0
117,,S1G Beacon,61,34,-10,920,3,1,,,,,,,0,1
118,,S1G Beacon,61,34,-65,920,3,1,,,,,,,0,0
123,,S1G Beacon,129,34,-12,920,3,1,,,,,,,0,1
125,,S1G Beacon,129,34,-63,920,3,1,,,,,,,0,0
132,,S1G Beacon,61,34,-10,920,3,1,,,,,,,0,1
133,,S1G Beacon,61,34,-64,920,3,1,,,,,,,0,0
134,,S1G Beacon,129,34,-10,920,3,1,,,,,,,0,1
135,,S1G Beacon,129,34,-65,920,3,1,,,,,,,0,0
136,,S1G Beacon,61,34,-11,920,3,1,,,,,,,0,1
137,,S1G Beacon,61,34,-64,920,3,1,,,,,,,0,0
138,,RTS,54,34,0,920,1,11,,,,0,0,0,2452,0
140,,RTS,54,34,0,920,1,11,,,,0,0,0,2452,0
142,,RTS,54,34,0,920,1,11,,,,0,0,0,2488,0
144,,RTS,54,34,0,920,1,11,,,,0,0,0,2596,0
146,,RTS,54,34,0,920,1,11,,,,0,0,0,2596,0
154,,QoS Null,64,34,0,920,2,12,1,0,0,0,0,0,720,0
156,,S1G Beacon,129,34,-12,920,3,1,,,,,,,0,1
159,,S1G Beacon,129,34,-64,920,3,1,,,,,,,0,0
160,,S1G Beacon,61,34,-10,920,3,1,,,,,,,0,1
161,,S1G Beacon,61,34,-65,920,3,1,,,,,,,0,0
169,,S1G Beacon,129,34,-11,920,3,1,,,,,,,0,1
170,,S1G Beacon,129,34,-64,920,3,1,,,,,,,0,0
171,,S1G Beacon,61,34,-10,920,3,1,,,,,,,0,1
172,,S1G Beacon,61,34,-64,920,3,1,,,,,,,0,0
180,,S1G Beacon,129,34,-12,920,3,1,,,,,,,0,1
181,,S1G Beacon,129,34,-64,920,3,1,,,,,,,0,0
182,,S1G Beacon,61,34,-10,920,3,1,,,,,,,0,1
183,,S1G Beacon,61,34,-66,920,3,1,,,,,,,0,0
184,,S1G Beacon,129,34,-11,920,3,1,,,,,,,0,1
185,,S1G Beacon,129,34,-64,920,3,1,,,,,,,0,0
187,,S1G Beacon,61,34,-10,920,3,1,,,,,,,0,1
188,,S1G Beacon,61,34,-64,920,3,1,,,,,,,0,0
198,,S1G Beacon,129,34,-10,920,3,1,,,,,,,0,1
199,,S1G Beacon,129,34,-64,920,3,1,,,,,,,0,0
200,,S1G Beacon,61,34,-10,920,3,1,,,,,,,0,1
202,,S1G Beacon,61,34,-65,920,3,1,,,,,,,0,0
204,,S1G Beacon,129,34,-12,920,3,1,,,,,,,0,1
205,,S1G Beacon,129,34,-66,920,3,1,,,,,,,0,0
206,,S1G Beacon,61,34,-12,920,3,1,,,,,,,0,1
208,,S1G Beacon,61,34,-63,920,3,1,,,,,,,0,0
209,,S1G Beacon,129,34,-11,920,3,1,,,,,,,0,1
210,,S1G Beacon,129,34,-62,920,3,1,,,,,,,0,0
211,,S1G Beacon,61,34,-10,920,3,1,,,,,,,0,1
212,,S1G Beacon,61,34,-63,920,3,1,,,,,,,0,0
218,,S1G Beacon,129,34,-10,920,3,1,,,,,,,0,1
222,,S1G Beacon,129,34,-62,920,3,1,,,,,,,0,0
224,,S1G Beacon,61,34,-10,920,3,1,,,,,,,0,1
225,,S1G Beacon,61,34,-64,920,3,1,,,,,,,0,0
226,,S1G Beacon,129,34,-12,920,3,1,,,,,,,0,1
227,,S1G Beacon,129,34,-63,920,3,1,,,,,,,0,0
228,,S1G Beacon,61,34,-13,920,3,1,,,,,,,0,1
229,,S1G Beacon,61,34,-65,920,3,1,,,,,,,0,0
230,,S1G Beacon,129,34,-64,920,3,1,,,,,,,0,0
233,,S1G Beacon,61,34,-13,920,3,1,,,,,,,0,1
235,,S1G Beacon,61,34,-64,920,3,1,,,,,,,0,0
242,,S1G Beacon,129,34,-13,920,3,1,,,,,,,0,1
246,,S1G Beacon,129,34,-64,920,3,1,,,,,,,0,0
247,,S1G Beacon,61,34,-13,920,3,1,,,,,,,0,1
250,,S1G Beacon,61,34,-65,920,3,1,,,,,,,0,0
257,,S1G Beacon,129,34,-12,920,3,1,,,,,,,0,1
261,,S1G Beacon,129,34,-65,920,3,1,,,,,,,0,0
265,,S1G Beacon,61,34,-13,920,3,1,,,,,,,0,1
266,,S1G Beacon,61,34,-67,920,3,1,,,,,,,0,0
267,,S1G Beacon,129,34,-12,920,3,1,,,,,,,0,1
268,,S1G Beacon,129,34,-65,920,3,1,,,,,,,0,0
269,,S1G Beacon,61,34,-11,920,3,1,,,,,,,0,1
272,,S1G Beacon,129,34,-11,920,3,1,,,,,,,0,1
281,,S1G Beacon,129,34,-63,920,3,1,,,,,,,0,0
282,,S1G Beacon,61,34,-12,920,3,1,,,,,,,0,1
283,,S1G Beacon,61,34,-64,920,3,1,,,,,,,0,0
284,,S1G Beacon,129,34,-13,920,3,1,,,,,,,0,1
285,,S1G Beacon,129,34,-65,920,3,1,,,,,,,0,0
286,,S1G Beacon,61,34,-12,920,3,1,,,,,,,0,1
287,,S1G Beacon,61,34,-66,920,3,1,,,,,,,0,0
289,,S1G Beacon,129,34,-12,920,3,1,,,,,,,0,1
290,,S1G Beacon,129,34,-63,920,3,1,,,,,,,0,0
293,,S1G Beacon,61,34,-12,920,3,1,,,,,,,0,1
294,,S1G Beacon,61,34,-66,920,3,1,,,,,,,0,0
295,,S1G Beacon,129,34,-11,920,3,1,,,,,,,0,1
302,,S1G Beacon,129,34,-65,920,3,1,,,,,,,0,0
