attack_type,packet Number,event_type,time_stamp,signal_strength,ssid,bssid,src,dst,reason,status,details
Dragonblood DoS,628,Authentication,2026-06-29T14:45:18.454502000Z,-52,,78:72:64:ea:b9:14,5a:4f:ed:68:7f:c2,78:72:64:ea:b9:14,,0,Attacker is Sending Authentication request to trusted AP
Dragonblood DoS,630,Authentication,2026-06-29T14:45:18.585576000Z,-51,,78:72:64:ea:b9:14,5a:4f:ed:68:7f:c2,78:72:64:ea:b9:14,,0,Attacker is Sending Authentication request to trusted AP
,631,Authentication,2026-06-29T14:45:18.648130000Z,-24,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,5a:4f:ed:68:7f:c2,,0,Successful Authentication to Trusted AP
,632,Authentication,2026-06-29T14:45:18.660114000Z,-24,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,5a:4f:ed:68:7f:c2,,0,Successful Authentication to Trusted AP
Dragonblood DoS,633,Authentication,2026-06-29T14:45:18.716653000Z,-53,,78:72:64:ea:b9:14,5a:4f:ed:68:7f:c2,78:72:64:ea:b9:14,,0,Attacker is Sending Authentication request to trusted AP
,640,Authentication,2026-06-29T14:45:18.780303000Z,-26,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,5a:4f:ed:68:7f:c2,,0,Successful Authentication to Trusted AP
,641,Authentication,2026-06-29T14:45:18.791719000Z,-24,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,5a:4f:ed:68:7f:c2,,0,Successful Authentication to Trusted AP
,642,Authentication,2026-06-29T14:45:18.797656000Z,-26,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,5a:4f:ed:68:7f:c2,,0,Successful Authentication to Trusted AP
Dragonblood DoS,647,Authentication,2026-06-29T14:45:18.823151000Z,-53,,78:72:64:ea:b9:14,5a:4f:ed:68:7f:c2,78:72:64:ea:b9:14,,0,Attacker is Sending Authentication request to trusted AP
,648,Authentication,2026-06-29T14:45:18.895905000Z,-24,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,5a:4f:ed:68:7f:c2,,0,Successful Authentication to Trusted AP
,650,Authentication,2026-06-29T14:45:18.955405000Z,-24,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,5a:4f:ed:68:7f:c2,,0,Successful Authentication to Trusted AP
,651,Authentication,2026-06-29T14:45:18.961236000Z,-23,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,5a:4f:ed:68:7f:c2,,0,Successful Authentication to Trusted AP
Dragonblood DoS,652,Authentication,2026-06-29T14:45:19.083253000Z,-53,,78:72:64:ea:b9:14,5a:4f:ed:68:7f:c2,78:72:64:ea:b9:14,,0,Attacker is Sending Authentication request to trusted AP
,653,Authentication,2026-06-29T14:45:19.096117000Z,-24,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,5a:4f:ed:68:7f:c2,,0,Successful Authentication to Trusted AP
,654,Authentication,2026-06-29T14:45:19.107525000Z,-25,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,5a:4f:ed:68:7f:c2,,0,Successful Authentication to Trusted AP
Dragonblood DoS,655,Authentication,2026-06-29T14:45:19.208194000Z,-54,,78:72:64:ea:b9:14,5a:4f:ed:68:7f:c2,78:72:64:ea:b9:14,,0,Attacker is Sending Authentication request to trusted AP
,656,Authentication,2026-06-29T14:45:19.220776000Z,-24,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,5a:4f:ed:68:7f:c2,,0,Successful Authentication to Trusted AP
,657,Authentication,2026-06-29T14:45:19.232599000Z,-24,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,5a:4f:ed:68:7f:c2,,0,Successful Authentication to Trusted AP
Dragonblood DoS,658,Authentication,2026-06-29T14:45:19.339246000Z,-53,,78:72:64:ea:b9:14,5a:4f:ed:68:7f:c2,78:72:64:ea:b9:14,,0,Attacker is Sending Authentication request to trusted AP
,659,Authentication,2026-06-29T14:45:19.345550000Z,-27,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,5a:4f:ed:68:7f:c2,,0,Successful Authentication to Trusted AP
,660,Authentication,2026-06-29T14:45:19.351495000Z,-27,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,5a:4f:ed:68:7f:c2,,0,Successful Authentication to Trusted AP
,661,Authentication,2026-06-29T14:45:19.357171000Z,-26,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,5a:4f:ed:68:7f:c2,,0,Successful Authentication to Trusted AP
Dragonblood DoS,662,Authentication,2026-06-29T14:45:19.470320000Z,-53,,78:72:64:ea:b9:14,5a:4f:ed:68:7f:c2,78:72:64:ea:b9:14,,0,Attacker is Sending Authentication request to trusted AP
,663,Authentication,2026-06-29T14:45:19.482400000Z,-24,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,5a:4f:ed:68:7f:c2,,0,Successful Authentication to Trusted AP
,664,Authentication,2026-06-29T14:45:19.493917000Z,-24,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,5a:4f:ed:68:7f:c2,,0,Successful Authentication to Trusted AP
