host_timestamp,local_time,esp32_uptime_us,cpu_used_pct,ram_used_pct,tcp_disconnects
1780580264.073893,2026-06-04 15:37:44,1157446062,1.12,17.84,2
1780580269.111304,2026-06-04 15:37:49,1162474339,0.84,17.9,2
1780580274.139283,2026-06-04 15:37:54,1167503646,0.89,17.84,2
1780580279.1627572,2026-06-04 15:37:59,1172533047,0.83,17.9,2
1780580284.192427,2026-06-04 15:38:04,1177562049,1.02,17.9,2
1780580289.222355,2026-06-04 15:38:09,1182591673,0.85,17.9,2
1780580294.2600808,2026-06-04 15:38:14,1187620290,0.81,17.9,2
1780580299.277217,2026-06-04 15:38:19,1192648206,0.82,17.84,2
1780580304.305789,2026-06-04 15:38:24,1197687152,1.06,17.9,2
1780580309.351989,2026-06-04 15:38:29,1202715303,1.13,17.9,2
1780580314.380928,2026-06-04 15:38:34,1207752195,0.91,17.84,2
1780580319.411527,2026-06-04 15:38:39,1212779702,0.97,17.9,2
1780580324.4438121,2026-06-04 15:38:44,1217810659,0.96,17.9,2
1780580329.478009,2026-06-04 15:38:49,1222839313,1.13,17.9,2
1780580334.505984,2026-06-04 15:38:54,1227868236,0.97,17.9,2
1780580339.5340219,2026-06-04 15:38:59,1232898927,0.94,17.84,2
1780580344.56147,2026-06-04 15:39:04,1237926930,0.85,17.9,2
1780580349.5866182,2026-06-04 15:39:09,1242956526,1.17,17.84,2
1780580354.612104,2026-06-04 15:39:14,1247986152,0.87,17.9,2
1780580359.647594,2026-06-04 15:39:19,1253015172,0.89,17.9,2
1780580364.6727612,2026-06-04 15:39:24,1258044497,0.88,17.9,2
1780580369.702614,2026-06-04 15:39:29,1263074059,1.11,17.9,2
1780580374.7358952,2026-06-04 15:39:34,1268103043,0.88,17.84,2
1780580379.764118,2026-06-04 15:39:39,1273131609,0.84,17.9,2
1780580384.787717,2026-06-04 15:39:44,1278165246,0.87,17.9,2
1780580389.826575,2026-06-04 15:39:49,1283195372,1.15,17.9,2
1780580630.632148,2026-06-04 15:43:50,1524010958,0.75,18.01,3
1780580635.66683,2026-06-04 15:43:55,1529039387,0.9,17.9,3
1780580640.6952388,2026-06-04 15:44:00,1534071028,1.08,17.84,3
1780580645.851687,2026-06-04 15:44:05,1539231609,1.02,17.84,3
1780580650.896537,2026-06-04 15:44:10,1544262977,0.81,17.9,3
1780580655.914948,2026-06-04 15:44:15,1549291319,0.81,17.9,3
1780580660.951647,2026-06-04 15:44:20,1554320669,0.83,17.9,3
1780580665.973283,2026-06-04 15:44:25,1559349499,1.1,17.9,3
1780580671.005672,2026-06-04 15:44:31,1564378413,0.8,17.84,3
1780580676.031682,2026-06-04 15:44:36,1569407525,0.85,17.9,3
1780580681.058917,2026-06-04 15:44:41,1574435725,0.89,17.9,3
1780580686.091701,2026-06-04 15:44:46,1579476178,1.08,17.84,3
1780580691.133093,2026-06-04 15:44:51,1584503862,0.81,17.9,3
1780580696.157263,2026-06-04 15:44:56,1589533241,0.84,17.84,3
