packet_number,timestamp,frame_name,frame_len,length,dbm_antsignal,channel_freq,type,subtype,ds,frag,retry,pwrmgt,moredata,protected,duration,label
1,2026-06-27T17:04:19.527253000Z,S1G Beacon,61,34,-15,920,3,1,,,,,,,0,0
2,2026-06-27T17:04:19.677411000Z,Data,158,34,-15,920,2,0,0,0,0,0,0,1,0,0
3,2026-06-27T17:04:19.731584000Z,Data,287,34,-14,920,2,0,0,0,0,0,0,1,0,0
4,2026-06-27T17:04:19.769082000Z,Data,243,34,-14,920,2,0,0,0,0,0,0,1,0,0
5,2026-06-27T17:04:19.776859000Z,Data,263,34,-14,920,2,0,0,0,0,0,0,1,0,0
6,2026-06-27T17:04:20.348221000Z,S1G Beacon,129,34,-14,920,3,1,,,,,,,0,0
7,2026-06-27T17:04:20.768994000Z,Data,243,34,-14,920,2,0,0,0,0,0,0,1,0,0
8,2026-06-27T17:04:20.776766000Z,Data,263,34,-14,920,2,0,0,0,0,0,0,1,0,0
9,2026-06-27T17:04:21.165633000Z,S1G Beacon,61,34,-15,920,3,1,,,,,,,0,0
11,2026-06-27T17:04:21.768596000Z,Data,243,34,-14,920,2,0,0,0,0,0,0,1,0,0
12,2026-06-27T17:04:21.776367000Z,Data,263,34,-14,920,2,0,0,0,0,0,0,1,0,0
13,2026-06-27T17:04:21.986664000Z,S1G Beacon,129,34,-14,920,3,1,,,,,,,0,0
16,2026-06-27T17:04:22.086005000Z,QoS Data,149,34,-15,920,2,8,1,0,0,0,0,1,720,0
19,2026-06-27T17:04:22.095106000Z,QoS Data,131,34,-28,920,2,8,1,0,0,0,0,1,720,0
21,2026-06-27T17:04:22.097324000Z,QoS Data,131,34,-18,920,2,8,0,0,0,0,0,1,720,0
23,2026-06-27T17:04:22.184432000Z,QoS Data,128,34,-15,920,2,8,1,0,0,0,0,1,720,0
25,2026-06-27T17:04:22.186846000Z,QoS Data,128,34,-19,920,2,8,0,0,0,0,0,1,720,0
27,2026-06-27T17:04:22.755675000Z,Data,287,34,-14,920,2,0,0,0,0,0,0,1,0,0
28,2026-06-27T17:04:22.768941000Z,Data,243,34,-15,920,2,0,0,0,0,0,0,1,0,0
29,2026-06-27T17:04:22.776718000Z,Data,263,34,-13,920,2,0,0,0,0,0,0,1,0,0
30,2026-06-27T17:04:22.804084000Z,S1G Beacon,61,34,-16,920,3,1,,,,,,,0,0
32,2026-06-27T17:04:23.566428000Z,Data,378,34,-15,920,2,0,0,0,0,0,0,1,0,0
33,2026-06-27T17:04:23.625108000Z,S1G Beacon,129,34,-14,920,3,1,,,,,,,0,0
34,2026-06-27T17:04:23.670298000Z,Data,387,34,-14,920,2,0,0,0,0,0,0,1,0,0
35,2026-06-27T17:04:23.768798000Z,Data,258,34,-15,920,2,0,0,0,0,0,0,1,0,0
36,2026-06-27T17:04:23.776974000Z,Data,278,34,-15,920,2,0,0,0,0,0,0,1,0,0
37,2026-06-27T17:04:23.789776000Z,Data,450,34,-14,920,2,0,0,0,0,0,0,1,0,0
38,2026-06-27T17:04:23.879830000Z,Data,442,34,-15,920,2,0,0,0,0,0,0,1,0,0
39,2026-06-27T17:04:23.982490000Z,Data,387,34,-15,920,2,0,0,0,0,0,0,1,0,0
40,2026-06-27T17:04:24.087389000Z,Data,426,34,-14,920,2,0,0,0,0,0,0,1,0,0
41,2026-06-27T17:04:24.192297000Z,Data,458,34,-13,920,2,0,0,0,0,0,0,1,0,0
42,2026-06-27T17:04:24.294473000Z,Data,387,34,-13,920,2,0,0,0,0,0,0,1,0,0
43,2026-06-27T17:04:24.399973000Z,Data,446,34,-14,920,2,0,0,0,0,0,0,1,0,0
44,2026-06-27T17:04:24.442533000Z,S1G Beacon,61,34,-15,920,3,1,,,,,,,0,0
45,2026-06-27T17:04:24.503911000Z,Data,440,34,-15,920,2,0,0,0,0,0,0,1,0,0
46,2026-06-27T17:04:24.606495000Z,Data,387,34,-14,920,2,0,0,0,0,0,0,1,0,0
47,2026-06-27T17:04:24.711815000Z,Data,442,34,-13,920,2,0,0,0,0,0,0,1,0,0
48,2026-06-27T17:04:24.768739000Z,Data,258,34,-14,920,2,0,0,0,0,0,0,1,0,0
49,2026-06-27T17:04:24.776910000Z,Data,278,34,-15,920,2,0,0,0,0,0,0,1,0,0
50,2026-06-27T17:04:24.816290000Z,Data,452,34,-14,920,2,0,0,0,0,0,0,1,0,0
51,2026-06-27T17:04:25.263563000Z,S1G Beacon,129,34,-14,920,3,1,,,,,,,0,0
52,2026-06-27T17:04:25.770501000Z,Data,312,34,-13,920,2,0,0,0,0,0,0,1,0,0
53,2026-06-27T17:04:25.780110000Z,Data,332,34,-13,920,2,0,0,0,0,0,0,1,0,0
54,2026-06-27T17:04:25.788516000Z,Data,287,34,-13,920,2,0,0,0,0,0,0,1,0,0
55,2026-06-27T17:04:26.080986000Z,S1G Beacon,61,34,-14,920,3,1,,,,,,,0,0
57,2026-06-27T17:04:26.902008000Z,S1G Beacon,129,34,-13,920,3,1,,,,,,,0,0
58,2026-06-27T17:04:27.110710000Z,QoS Data,148,34,-11,920,2,8,1,0,0,0,0,1,720,0
60,2026-06-27T17:04:27.112998000Z,QoS Data,148,34,-18,920,2,8,0,0,0,0,0,1,720,0
63,2026-06-27T17:04:27.121138000Z,QoS Data,131,34,-18,920,2,8,0,0,0,0,0,1,720,0
65,2026-06-27T17:04:27.184494000Z,QoS Data,128,34,-12,920,2,8,1,0,0,0,0,1,720,0
67,2026-06-27T17:04:27.186617000Z,QoS Data,128,34,-18,920,2,8,0,0,0,0,0,1,720,0
69,2026-06-27T17:04:27.719444000Z,S1G Beacon,61,34,-13,920,3,1,,,,,,,0,0
70,2026-06-27T17:04:28.540477000Z,S1G Beacon,129,34,-14,920,3,1,,,,,,,0,0
71,2026-06-27T17:04:28.803831000Z,Data,287,34,-16,920,2,0,0,0,0,0,0,1,0,0
