packet_number,tsf,frame_name,frame_len,length,dbm_antsignal,channel_freq,type,subtype,ds,frag,retry,pwrmgt,moredata,protected,duration,label
1,15365684566,Data,287,34,-16,920,2,0,0,0,0,0,0,1,0,0
2,15365869475,S1G Beacon,129,34,-15,920,3,1,,,,,,,0,0
3,15366207534,QoS Data,148,34,-15,920,2,8,1,0,0,0,0,1,720,0
6,15366216205,QoS Data,131,34,-27,920,2,8,1,0,0,0,0,1,720,0
8,15366218530,QoS Data,131,34,-20,920,2,8,0,0,0,0,0,1,720,0
10,15366466143,QoS Data,128,34,-15,920,2,8,1,0,0,0,0,1,720,0
12,15366470311,QoS Data,128,34,-19,920,2,8,0,0,0,0,0,1,720,0
14,15366688678,S1G Beacon,61,34,-17,920,3,1,,,,,,,0,0
15,15367507883,S1G Beacon,129,34,-16,920,3,1,,,,,,,0,0
16,15368327083,S1G Beacon,61,34,-18,920,3,1,,,,,,,0,0
17,15368708573,Data,287,34,-19,920,2,0,0,0,0,0,0,1,0,0
18,15369146289,S1G Beacon,129,34,-18,920,3,1,,,,,,,0,0
19,15369965491,S1G Beacon,61,34,-18,920,3,1,,,,,,,0,0
20,15370784695,S1G Beacon,129,34,-19,920,3,1,,,,,,,0,0
21,15371231738,QoS Data,149,34,-13,920,2,8,1,0,0,0,0,1,720,0
24,15371240180,QoS Data,131,34,-20,920,2,8,1,0,0,0,0,1,720,0
27,15371466042,QoS Data,128,34,-13,920,2,8,1,0,0,0,0,1,720,0
30,15371603898,S1G Beacon,61,34,-18,920,3,1,,,,,,,0,0
31,15371732602,Data,287,34,-19,920,2,0,0,0,0,0,0,1,0,0
32,15372423206,S1G Beacon,129,34,-17,920,3,1,,,,,,,0,0
33,15373242303,S1G Beacon,61,34,-19,920,3,1,,,,,,,0,0
35,15374061507,S1G Beacon,129,34,-18,920,3,1,,,,,,,0,0
36,15374756618,Data,287,34,-16,920,2,0,0,0,0,0,0,1,0,0
37,15374880709,S1G Beacon,61,34,-17,920,3,1,,,,,,,0,0
38,15375699912,S1G Beacon,129,34,-17,920,3,1,,,,,,,0,0
39,15376255146,QoS Data,149,34,-14,920,2,8,1,0,0,0,0,1,720,0
44,15376465895,QoS Data,128,34,-15,920,2,8,1,0,0,0,0,1,720,0
46,15376468969,QoS Data,128,34,-22,920,2,8,0,0,0,0,0,1,720,0
48,15376519115,S1G Beacon,61,34,-19,920,3,1,,,,,,,0,0
49,15377338320,S1G Beacon,129,34,-16,920,3,1,,,,,,,0,0
50,15377580890,Data,378,34,-17,920,2,0,0,0,0,0,0,1,0,0
