host_timestamp,local_time,cpu_used_pct,ram_used_pct
1783424975.0378535,2026-07-07 13:49:35,0.0,72.91
1783424980.051271,2026-07-07 13:49:40,82.0,72.91
1783424985.0840535,2026-07-07 13:49:45,96.41,72.93
1783424990.0587351,2026-07-07 13:49:50,66.67,72.92
1783424995.0748172,2026-07-07 13:49:55,64.61,72.92
1783425000.072557,2026-07-07 13:50:00,63.13,72.92
1783425005.0474498,2026-07-07 13:50:05,66.6,72.92
1783425010.0783992,2026-07-07 13:50:10,60.76,72.92
1783425015.0579226,2026-07-07 13:50:15,65.53,72.92
1783425020.0463483,2026-07-07 13:50:20,67.6,72.92
1783425025.0483227,2026-07-07 13:50:25,66.8,72.92
1783425030.04732,2026-07-07 13:50:30,65.0,72.92
1783425035.0515487,2026-07-07 13:50:35,68.26,72.92
