host_timestamp,local_time,cpu_used_pct,ram_used_pct
1782220793.9615662,2026-06-23 15:19:53,0.0,65.27
1782220798.9584522,2026-06-23 15:19:58,25.0,65.27
1782220803.9440224,2026-06-23 15:20:03,26.85,65.27
1782220808.9472568,2026-06-23 15:20:08,25.2,65.27
1782220813.9490788,2026-06-23 15:20:13,26.4,65.27
1782220818.9488838,2026-06-23 15:20:18,27.74,65.27
1782220823.949677,2026-06-23 15:20:23,24.2,65.27
1782220828.9489462,2026-06-23 15:20:28,24.8,65.27
1782220833.9759855,2026-06-23 15:20:33,28.34,65.27
1782220838.9702003,2026-06-23 15:20:38,76.45,65.27
1782220843.976354,2026-06-23 15:20:43,70.8,65.27
1782220848.9537914,2026-06-23 15:20:48,66.47,65.27
1782220854.0021954,2026-06-23 15:20:53,67.66,65.27
1782220858.981435,2026-06-23 15:20:58,69.14,65.27
1782220863.9859831,2026-06-23 15:21:03,69.0,65.27
1782220868.9907947,2026-06-23 15:21:08,69.66,65.27
1782220873.9910655,2026-06-23 15:21:13,67.0,65.27
1782220878.9969447,2026-06-23 15:21:18,71.06,65.27
1782220883.9887924,2026-06-23 15:21:23,66.67,65.27
1782220888.9665072,2026-06-23 15:21:28,66.67,65.27
1782220893.9675794,2026-06-23 15:21:33,69.4,65.27
1782220898.96083,2026-06-23 15:21:38,69.2,65.27
1782220903.9600444,2026-06-23 15:21:43,71.4,65.27
1782220908.9603767,2026-06-23 15:21:48,67.8,65.27
1782220913.9872024,2026-06-23 15:21:53,65.47,65.27
1782220918.9965644,2026-06-23 15:21:58,67.93,65.27
1782220924.0287988,2026-06-23 15:22:04,66.27,65.27
1782220929.007109,2026-06-23 15:22:09,67.74,65.27
1782220933.9636993,2026-06-23 15:22:13,71.43,65.27
1782220938.962574,2026-06-23 15:22:18,66.8,65.27
1782220943.974462,2026-06-23 15:22:23,69.06,65.27
1782220948.9739304,2026-06-23 15:22:28,65.6,65.27
1782220954.0273955,2026-06-23 15:22:34,66.8,65.27
1782220959.0008187,2026-06-23 15:22:38,70.0,65.27
1782220964.0002637,2026-06-23 15:22:43,65.4,65.27
1782220969.0079494,2026-06-23 15:22:49,70.6,65.27
1782220974.001401,2026-06-23 15:22:53,67.8,65.27
1782220978.9891586,2026-06-23 15:22:58,67.67,65.27
1782220983.9962294,2026-06-23 15:23:03,70.2,65.27
1782220989.0002255,2026-06-23 15:23:08,69.26,65.27
1782220994.0065067,2026-06-23 15:23:14,69.54,65.27
1782220998.9816346,2026-06-23 15:23:18,71.74,65.27
1782221003.9688551,2026-06-23 15:23:23,68.2,65.27
1782221008.97949,2026-06-23 15:23:28,68.46,65.27
1782221013.9923074,2026-06-23 15:23:33,66.47,65.27
1782221018.9941134,2026-06-23 15:23:38,69.6,65.27
1782221023.9878612,2026-06-23 15:23:43,69.28,65.27
1782221029.0002778,2026-06-23 15:23:48,70.38,65.27
1782221034.0085332,2026-06-23 15:23:54,69.2,65.27
1782221038.995394,2026-06-23 15:23:58,67.74,65.27
1782221044.007902,2026-06-23 15:24:04,64.67,65.27
1782221049.0380797,2026-06-23 15:24:09,69.78,65.27
1782221054.0257256,2026-06-23 15:24:14,72.49,65.27
1782221059.0106807,2026-06-23 15:24:19,68.6,65.27
1782221064.0390484,2026-06-23 15:24:24,68.8,65.27
1782221069.0202127,2026-06-23 15:24:29,68.6,65.27
1782221074.0312035,2026-06-23 15:24:34,65.54,65.27
1782221079.0212183,2026-06-23 15:24:39,65.33,65.27
1782221084.0406415,2026-06-23 15:24:44,69.54,65.27
1782221089.0362358,2026-06-23 15:24:49,68.33,65.27
1782221094.0453184,2026-06-23 15:24:54,69.15,65.27
1782221099.0283096,2026-06-23 15:24:59,66.0,65.27
1782221104.0068223,2026-06-23 15:25:04,68.27,65.27
1782221109.0320587,2026-06-23 15:25:09,68.13,65.27
1782221114.0143225,2026-06-23 15:25:14,68.88,65.27
1782221119.015097,2026-06-23 15:25:19,66.8,65.27
1782221124.0229132,2026-06-23 15:25:24,66.2,65.27
1782221129.033113,2026-06-23 15:25:29,67.93,65.27
1782221134.0251656,2026-06-23 15:25:34,66.93,65.27
1782221139.0214858,2026-06-23 15:25:39,69.26,65.27
1782221144.0017257,2026-06-23 15:25:43,67.87,65.27
1782221149.0161712,2026-06-23 15:25:49,66.07,65.27
1782221154.024468,2026-06-23 15:25:54,69.86,65.27
1782221159.008494,2026-06-23 15:25:59,68.47,65.27
1782221164.0182314,2026-06-23 15:26:04,69.94,65.27
1782221169.0061843,2026-06-23 15:26:09,69.66,65.27
1782221173.9878213,2026-06-23 15:26:13,70.08,65.27
1782221178.9882185,2026-06-23 15:26:18,70.2,65.27
1782221184.0338247,2026-06-23 15:26:24,67.59,65.27
1782221189.0339239,2026-06-23 15:26:29,65.87,65.27
1782221194.0154595,2026-06-23 15:26:34,69.14,65.27
1782221199.018548,2026-06-23 15:26:39,69.54,65.27
1782221204.017282,2026-06-23 15:26:44,74.8,65.27
1782221209.018388,2026-06-23 15:26:49,69.2,65.27
1782221214.012973,2026-06-23 15:26:54,68.2,65.27
1782221219.0269938,2026-06-23 15:26:59,70.86,65.27
1782221224.0362523,2026-06-23 15:27:04,72.34,65.27
1782221229.0042624,2026-06-23 15:27:08,65.8,65.27
1782221234.0196462,2026-06-23 15:27:14,68.46,65.27
1782221239.0287027,2026-06-23 15:27:19,67.07,65.27
1782221244.0023413,2026-06-23 15:27:23,69.01,65.27
1782221249.0145352,2026-06-23 15:27:29,68.13,65.27
1782221254.0177765,2026-06-23 15:27:34,66.13,65.27
1782221259.0222125,2026-06-23 15:27:39,69.32,65.27
1782221264.0405538,2026-06-23 15:27:44,72.65,65.27
1782221269.015977,2026-06-23 15:27:49,65.46,65.27
1782221274.058087,2026-06-23 15:27:54,68.06,65.27
1782221279.0399003,2026-06-23 15:27:59,68.6,65.27
1782221283.9996104,2026-06-23 15:28:03,68.81,65.27
1782221288.9983034,2026-06-23 15:28:08,68.8,65.27
1782221294.0271316,2026-06-23 15:28:14,72.91,65.27
1782221299.0307214,2026-06-23 15:28:19,69.92,65.27
1782221304.011323,2026-06-23 15:28:24,68.67,65.27
1782221308.9993508,2026-06-23 15:28:28,68.14,65.27
1782221314.000491,2026-06-23 15:28:33,73.4,65.27
1782221319.0274754,2026-06-23 15:28:39,69.06,65.27
1782221324.0243154,2026-06-23 15:28:44,70.6,65.27
1782221329.0332541,2026-06-23 15:28:49,68.92,65.27
1782221334.0576892,2026-06-23 15:28:54,69.92,65.27
1782221339.0513804,2026-06-23 15:28:59,66.4,65.27
1782221344.0509682,2026-06-23 15:29:04,69.82,65.27
1782221349.006871,2026-06-23 15:29:09,69.08,65.27
1782221354.0432699,2026-06-23 15:29:14,65.14,65.27
1782221359.007,2026-06-23 15:29:19,69.68,65.27
1782221364.0080407,2026-06-23 15:29:24,71.2,65.27
1782221369.008333,2026-06-23 15:29:29,67.2,65.27
1782221374.0182648,2026-06-23 15:29:34,69.0,65.27
1782221379.008689,2026-06-23 15:29:39,70.0,65.27
1782221384.008546,2026-06-23 15:29:44,69.4,65.27
1782221389.043568,2026-06-23 15:29:49,68.13,65.27
1782221394.0457788,2026-06-23 15:29:54,69.4,65.27
1782221399.0385063,2026-06-23 15:29:59,70.26,65.27
1782221404.0302546,2026-06-23 15:30:04,64.33,65.27
1782221409.033986,2026-06-23 15:30:09,69.86,65.27
1782221414.0132205,2026-06-23 15:30:14,71.08,65.27
1782221419.0120149,2026-06-23 15:30:19,70.4,65.27
1782221424.0114317,2026-06-23 15:30:24,69.0,65.27
1782221429.0191333,2026-06-23 15:30:29,66.47,65.27
1782221434.0124943,2026-06-23 15:30:34,68.14,65.27
1782221439.0249147,2026-06-23 15:30:39,68.46,65.27
1782221444.0696998,2026-06-23 15:30:44,69.38,65.27
1782221449.0652318,2026-06-23 15:30:49,67.74,65.27
1782221454.0548832,2026-06-23 15:30:54,68.14,65.27
1782221459.0512333,2026-06-23 15:30:59,66.33,65.27
