packet_number,tsft,frame_name,frame_len,length,dbm_antsignal,channel_freq,type,subtype,ds,frag,retry,pwrmgt,moredata,protected,duration,label
2,,S1G Beacon,129,34,-68,920,3,1,,,,,,,0,0
3,,S1G Beacon,129,34,-13,920,3,1,,,,,,,0,1
4,,S1G Beacon,61,34,-66,920,3,1,,,,,,,0,0
5,,S1G Beacon,61,34,-13,920,3,1,,,,,,,0,1
7,,S1G Beacon,129,34,-67,920,3,1,,,,,,,0,0
8,,S1G Beacon,129,34,-12,920,3,1,,,,,,,0,1
9,,S1G Beacon,61,34,-66,920,3,1,,,,,,,0,0
10,,S1G Beacon,61,34,-13,920,3,1,,,,,,,0,1
12,,S1G Beacon,129,34,-66,920,3,1,,,,,,,0,0
13,,S1G Beacon,129,34,-13,920,3,1,,,,,,,0,1
23,,S1G Beacon,61,34,-70,920,3,1,,,,,,,0,0
24,,S1G Beacon,61,34,-13,920,3,1,,,,,,,0,1
25,,S1G Beacon,129,34,-67,920,3,1,,,,,,,0,0
26,,S1G Beacon,129,34,-14,920,3,1,,,,,,,0,1
29,,S1G Beacon,61,34,-67,920,3,1,,,,,,,0,0
30,,S1G Beacon,61,34,-13,920,3,1,,,,,,,0,1
32,,S1G Beacon,129,34,-68,920,3,1,,,,,,,0,0
33,,S1G Beacon,129,34,-13,920,3,1,,,,,,,0,1
34,,S1G Beacon,61,34,-66,920,3,1,,,,,,,0,0
35,,S1G Beacon,61,34,-14,920,3,1,,,,,,,0,1
36,,S1G Beacon,129,34,-64,920,3,1,,,,,,,0,0
37,,S1G Beacon,129,34,-12,920,3,1,,,,,,,0,1
47,,S1G Beacon,61,34,-65,920,3,1,,,,,,,0,0
48,,S1G Beacon,61,34,-12,920,3,1,,,,,,,0,1
49,,S1G Beacon,129,34,-66,920,3,1,,,,,,,0,0
50,,S1G Beacon,129,34,-12,920,3,1,,,,,,,0,1
51,,S1G Beacon,61,34,-66,920,3,1,,,,,,,0,0
52,,S1G Beacon,61,34,-12,920,3,1,,,,,,,0,1
53,,S1G Beacon,129,34,-64,920,3,1,,,,,,,0,0
54,,S1G Beacon,129,34,-13,920,3,1,,,,,,,0,1
57,,S1G Beacon,61,34,-66,920,3,1,,,,,,,0,0
58,,S1G Beacon,61,34,-13,920,3,1,,,,,,,0,1
59,,S1G Beacon,129,34,-66,920,3,1,,,,,,,0,0
60,,S1G Beacon,129,34,-13,920,3,1,,,,,,,0,1
61,,S1G Beacon,61,34,-65,920,3,1,,,,,,,0,0
70,,S1G Beacon,61,34,-13,920,3,1,,,,,,,0,1
71,,S1G Beacon,129,34,-64,920,3,1,,,,,,,0,0
73,,S1G Beacon,129,34,-12,920,3,1,,,,,,,0,1
74,,S1G Beacon,61,34,-66,920,3,1,,,,,,,0,0
75,,S1G Beacon,61,34,-12,920,3,1,,,,,,,0,1
81,,S1G Beacon,129,34,-65,920,3,1,,,,,,,0,0
83,,S1G Beacon,129,34,-13,920,3,1,,,,,,,0,1
91,,S1G Beacon,61,34,-65,920,3,1,,,,,,,0,0
92,,S1G Beacon,61,34,-13,920,3,1,,,,,,,0,1
94,,S1G Beacon,129,34,-65,920,3,1,,,,,,,0,0
95,,S1G Beacon,129,34,-12,920,3,1,,,,,,,0,1
96,,S1G Beacon,61,34,-64,920,3,1,,,,,,,0,0
97,,RTS,54,34,0,920,1,11,,,,0,0,0,2452,0
99,,RTS,54,34,0,920,1,11,,,,0,0,0,2452,0
101,,RTS,54,34,0,920,1,11,,,,0,0,0,2488,0
103,,RTS,54,34,0,920,1,11,,,,0,0,0,2596,0
105,,RTS,54,34,0,920,1,11,,,,0,0,0,2596,0
108,,QoS Null,64,34,0,920,2,12,1,0,0,0,0,0,720,0
110,,S1G Beacon,129,34,-65,920,3,1,,,,,,,0,0
111,,S1G Beacon,129,34,-12,920,3,1,,,,,,,0,1
118,,S1G Beacon,61,34,-64,920,3,1,,,,,,,0,0
119,,RTS,54,34,0,920,1,11,,,,0,0,0,2380,0
124,,S1G Beacon,61,34,-12,920,3,1,,,,,,,0,1
127,,S1G Beacon,129,34,-65,920,3,1,,,,,,,0,0
128,,S1G Beacon,129,34,-12,920,3,1,,,,,,,0,1
129,,S1G Beacon,61,34,-66,920,3,1,,,,,,,0,0
130,,S1G Beacon,61,34,-12,920,3,1,,,,,,,0,1
