attack_type,packet Number,event_type,time_stamp,signal_strength,ssid,bssid,src,dst,reason,status,details
,233,S1G Beacon,2026-07-08T14:33:24.919555000Z,-23,,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,254,S1G Beacon,2026-07-08T14:33:38.848188000Z,-28,H7608,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,263,S1G Beacon,2026-07-08T14:33:39.665599000Z,-28,,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,270,S1G Beacon,2026-07-08T14:33:40.486635000Z,-27,H7608,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,271,S1G Beacon,2026-07-08T14:33:41.304053000Z,-27,,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,273,S1G Beacon,2026-07-08T14:33:42.125079000Z,-28,H7608,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,275,S1G Beacon,2026-07-08T14:33:42.942508000Z,-27,,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,288,S1G Beacon,2026-07-08T14:33:43.763533000Z,-27,H7608,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,289,S1G Beacon,2026-07-08T14:33:44.580954000Z,-27,,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,290,S1G Beacon,2026-07-08T14:33:46.219434000Z,-27,,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,291,S1G Beacon,2026-07-08T14:33:47.040434000Z,-28,H7608,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,292,S1G Beacon,2026-07-08T14:33:47.857903000Z,-27,,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,307,S1G Beacon,2026-07-08T14:33:48.678877000Z,-27,H7608,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,308,S1G Beacon,2026-07-08T14:33:49.496310000Z,-28,,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,310,S1G Beacon,2026-07-08T14:33:50.317335000Z,-26,H7608,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,311,S1G Beacon,2026-07-08T14:33:51.134778000Z,-27,,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,313,S1G Beacon,2026-07-08T14:33:51.955781000Z,-27,H7608,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,314,S1G Beacon,2026-07-08T14:33:52.773229000Z,-23,,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,324,S1G Beacon,2026-07-08T14:33:53.594231000Z,-20,H7608,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,327,S1G Beacon,2026-07-08T14:33:54.411650000Z,-19,,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,328,S1G Beacon,2026-07-08T14:33:55.232675000Z,-19,H7608,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,330,S1G Beacon,2026-07-08T14:33:56.050105000Z,-19,,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,331,S1G Beacon,2026-07-08T14:33:56.871131000Z,-20,H7608,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,333,S1G Beacon,2026-07-08T14:33:57.688555000Z,-19,,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,346,S1G Beacon,2026-07-08T14:33:58.509580000Z,-19,H7608,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,347,S1G Beacon,2026-07-08T14:33:59.327007000Z,-20,,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,350,S1G Beacon,2026-07-08T14:34:00.148028000Z,-19,H7608,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,358,S1G Beacon,2026-07-08T14:34:00.965452000Z,-19,,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,363,S1G Beacon,2026-07-08T14:34:01.786481000Z,-17,H7608,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,365,S1G Beacon,2026-07-08T14:34:02.603912000Z,-18,,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,376,S1G Beacon,2026-07-08T14:34:03.424929000Z,-18,H7608,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,378,S1G Beacon,2026-07-08T14:34:04.242359000Z,-18,,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,379,S1G Beacon,2026-07-08T14:34:05.063400000Z,-18,H7608,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,380,S1G Beacon,2026-07-08T14:34:05.880834000Z,-19,,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,382,S1G Beacon,2026-07-08T14:34:06.701836000Z,-18,H7608,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,383,S1G Beacon,2026-07-08T14:34:07.519260000Z,-17,,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,394,S1G Beacon,2026-07-08T14:34:08.340279000Z,-17,H7608,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,395,S1G Beacon,2026-07-08T14:34:09.157718000Z,-19,,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,397,S1G Beacon,2026-07-08T14:34:09.978742000Z,-19,H7608,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,398,S1G Beacon,2026-07-08T14:34:10.796175000Z,-19,,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,400,S1G Beacon,2026-07-08T14:34:12.434608000Z,-19,,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,407,S1G Beacon,2026-07-08T14:34:14.894085000Z,-20,H7608,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,409,S1G Beacon,2026-07-08T14:34:15.711513000Z,-20,,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,410,S1G Beacon,2026-07-08T14:34:17.349968000Z,-27,,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,423,S1G Beacon,2026-07-08T14:34:19.809442000Z,-25,H7608,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,427,S1G Beacon,2026-07-08T14:34:20.626869000Z,-18,,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,432,S1G Beacon,2026-07-08T14:34:21.447892000Z,-19,H7608,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,443,S1G Beacon,2026-07-08T14:34:23.086351000Z,-19,H7608,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,459,S1G Beacon,2026-07-08T14:34:23.903761000Z,-28,,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,470,S1G Beacon,2026-07-08T14:34:31.278601000Z,-26,H7608,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,471,S1G Beacon,2026-07-08T14:34:32.917065000Z,-22,H7608,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,497,S1G Beacon,2026-07-08T14:34:41.109319000Z,-19,H7608,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,498,S1G Beacon,2026-07-08T14:34:41.926734000Z,-19,,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,505,S1G Beacon,2026-07-08T14:34:42.747746000Z,-19,H7608,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,526,S1G Beacon,2026-07-08T14:34:43.565165000Z,-20,,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,527,S1G Beacon,2026-07-08T14:34:44.386197000Z,-19,H7608,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,528,S1G Beacon,2026-07-08T14:34:45.203628000Z,-19,,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,530,S1G Beacon,2026-07-08T14:34:46.024650000Z,-20,H7608,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,531,S1G Beacon,2026-07-08T14:34:46.842072000Z,-20,,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,533,S1G Beacon,2026-07-08T14:34:47.663118000Z,-19,H7608,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,541,S1G Beacon,2026-07-08T14:34:48.480519000Z,-18,,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,547,S1G Beacon,2026-07-08T14:34:49.301552000Z,-19,H7608,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,550,S1G Beacon,2026-07-08T14:34:50.118974000Z,-20,,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,551,S1G Beacon,2026-07-08T14:34:50.940005000Z,-20,H7608,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,552,S1G Beacon,2026-07-08T14:34:51.757426000Z,-19,,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,554,S1G Beacon,2026-07-08T14:34:52.578455000Z,-19,H7608,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,556,S1G Beacon,2026-07-08T14:34:53.395876000Z,-19,,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,570,S1G Beacon,2026-07-08T14:34:54.216904000Z,-20,H7608,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,580,S1G Beacon,2026-07-08T14:34:55.034317000Z,-18,,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,582,S1G Beacon,2026-07-08T14:34:55.855347000Z,-20,H7608,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
,583,S1G Beacon,2026-07-08T14:34:56.672781000Z,-20,,,78:72:64:ea:b9:14,,,,Trusted AP s1g Beacon
