attack_type,packet Number,event_type,time_stamp,signal_strength,bssid,src,dst,details
,3221,QoS Data,2026-07-03T14:25:12.861292000Z,-14,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,3239,QoS Data,2026-07-03T14:25:17.859087000Z,-27,78:72:64:ea:b9:14,3c:22:7f:71:dc:b8,3c:22:7f:71:df:d6,Transmitting data using Trusted AP
,3242,QoS Data,2026-07-03T14:25:18.108600000Z,-14,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,3270,QoS Data,2026-07-03T14:25:22.879506000Z,-13,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,3273,QoS Data,2026-07-03T14:25:22.889031000Z,-28,78:72:64:ea:b9:14,3c:22:7f:71:dc:b8,3c:22:7f:71:df:d6,Transmitting data using Trusted AP
,3296,QoS Data,2026-07-03T14:25:27.918042000Z,-12,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,3299,QoS Data,2026-07-03T14:25:27.935113000Z,-20,78:72:64:ea:b9:14,3c:22:7f:71:dc:b8,3c:22:7f:71:df:d6,Transmitting data using Trusted AP
,3301,QoS Data,2026-07-03T14:25:27.940222000Z,-63,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,3307,QoS Data,2026-07-03T14:25:28.122817000Z,-15,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,3322,QoS Data,2026-07-03T14:25:32.956583000Z,-11,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,3325,QoS Data,2026-07-03T14:25:32.967137000Z,-30,78:72:64:ea:b9:14,3c:22:7f:71:dc:b8,3c:22:7f:71:df:d6,Transmitting data using Trusted AP
,3330,QoS Data,2026-07-03T14:25:33.109080000Z,-11,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,3345,QoS Data,2026-07-03T14:25:37.976704000Z,-10,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,3348,QoS Data,2026-07-03T14:25:37.986213000Z,-30,78:72:64:ea:b9:14,3c:22:7f:71:dc:b8,3c:22:7f:71:df:d6,Transmitting data using Trusted AP
,3349,QoS Data,2026-07-03T14:25:37.990002000Z,-30,78:72:64:ea:b9:14,3c:22:7f:71:dc:b8,3c:22:7f:71:df:d6,Transmitting data using Trusted AP
,3352,QoS Data,2026-07-03T14:25:37.994637000Z,-29,78:72:64:ea:b9:14,3c:22:7f:71:dc:b8,3c:22:7f:71:df:d6,Transmitting data using Trusted AP
,3356,QoS Data,2026-07-03T14:25:38.109074000Z,-10,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,3358,QoS Data,2026-07-03T14:25:38.111731000Z,-67,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,3384,QoS Data,2026-07-03T14:25:43.006594000Z,-10,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,3386,QoS Data,2026-07-03T14:25:43.016312000Z,-27,78:72:64:ea:b9:14,3c:22:7f:71:dc:b8,3c:22:7f:71:df:d6,Transmitting data using Trusted AP
,3406,QoS Data,2026-07-03T14:25:48.026635000Z,-11,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,3409,QoS Data,2026-07-03T14:25:48.036996000Z,-17,78:72:64:ea:b9:14,3c:22:7f:71:dc:b8,3c:22:7f:71:df:d6,Transmitting data using Trusted AP
,3412,QoS Data,2026-07-03T14:25:48.109127000Z,-11,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,3414,QoS Data,2026-07-03T14:25:48.111577000Z,-67,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,3430,QoS Data,2026-07-03T14:25:53.046637000Z,-13,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,3433,QoS Data,2026-07-03T14:25:53.056325000Z,-19,78:72:64:ea:b9:14,3c:22:7f:71:dc:b8,3c:22:7f:71:df:d6,Transmitting data using Trusted AP
,3434,QoS Data,2026-07-03T14:25:53.059385000Z,-18,78:72:64:ea:b9:14,3c:22:7f:71:dc:b8,3c:22:7f:71:df:d6,Transmitting data using Trusted AP
,3437,QoS Data,2026-07-03T14:25:53.109181000Z,-12,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,3455,QoS Data,2026-07-03T14:25:58.076649000Z,-11,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,3458,QoS Data,2026-07-03T14:25:58.086544000Z,-18,78:72:64:ea:b9:14,3c:22:7f:71:dc:b8,3c:22:7f:71:df:d6,Transmitting data using Trusted AP
,3463,QoS Data,2026-07-03T14:25:58.113967000Z,-13,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,3494,QoS Data,2026-07-03T14:26:03.106729000Z,-12,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,3497,QoS Data,2026-07-03T14:26:03.121212000Z,-22,78:72:64:ea:b9:14,3c:22:7f:71:dc:b8,3c:22:7f:71:df:d6,Transmitting data using Trusted AP
,3501,QoS Data,2026-07-03T14:26:03.359107000Z,-11,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,3517,QoS Data,2026-07-03T14:26:08.152045000Z,-13,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,3520,QoS Data,2026-07-03T14:26:08.161556000Z,-17,78:72:64:ea:b9:14,3c:22:7f:71:dc:b8,3c:22:7f:71:df:d6,Transmitting data using Trusted AP
,3525,QoS Data,2026-07-03T14:26:08.359087000Z,-13,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,3541,QoS Data,2026-07-03T14:26:13.176727000Z,-12,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,3544,QoS Data,2026-07-03T14:26:13.186700000Z,-18,78:72:64:ea:b9:14,3c:22:7f:71:dc:b8,3c:22:7f:71:df:d6,Transmitting data using Trusted AP
,3548,QoS Data,2026-07-03T14:26:13.358715000Z,-13,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,3568,QoS Data,2026-07-03T14:26:18.196235000Z,-12,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,3571,QoS Data,2026-07-03T14:26:18.205520000Z,-16,78:72:64:ea:b9:14,3c:22:7f:71:dc:b8,3c:22:7f:71:df:d6,Transmitting data using Trusted AP
,3574,QoS Data,2026-07-03T14:26:18.358764000Z,-12,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,3596,QoS Data,2026-07-03T14:26:23.225979000Z,-11,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,3601,QoS Data,2026-07-03T14:26:23.240489000Z,-16,78:72:64:ea:b9:14,3c:22:7f:71:dc:b8,3c:22:7f:71:df:d6,Transmitting data using Trusted AP
,3605,QoS Data,2026-07-03T14:26:23.358603000Z,-12,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
