packet_number,tsft,frame_name,frame_len,length,dbm_antsignal,channel_freq,type,subtype,ds,frag,retry,pwrmgt,moredata,protected,duration,label
2,,S1G Beacon,61,34,-58,920,3,1,,,,,,,0,0
3,,S1G Beacon,129,34,-64,920,3,1,,,,,,,0,1
14,,S1G Beacon,129,34,-57,920,3,1,,,,,,,0,0
15,,S1G Beacon,61,34,-62,920,3,1,,,,,,,0,1
16,,S1G Beacon,61,34,-57,920,3,1,,,,,,,0,0
17,,S1G Beacon,129,34,-66,920,3,1,,,,,,,0,1
18,,S1G Beacon,129,34,-59,920,3,1,,,,,,,0,0
20,,S1G Beacon,61,34,-66,920,3,1,,,,,,,0,1
21,,S1G Beacon,61,34,-58,920,3,1,,,,,,,0,0
22,,S1G Beacon,129,34,-61,920,3,1,,,,,,,0,1
23,,S1G Beacon,129,34,-60,920,3,1,,,,,,,0,0
24,,S1G Beacon,61,34,-63,920,3,1,,,,,,,0,1
25,,S1G Beacon,61,34,-59,920,3,1,,,,,,,0,0
26,,S1G Beacon,129,34,-61,920,3,1,,,,,,,0,1
38,,S1G Beacon,129,34,-59,920,3,1,,,,,,,0,0
40,,S1G Beacon,61,34,-61,920,3,1,,,,,,,0,1
41,,S1G Beacon,129,34,-60,920,3,1,,,,,,,0,1
43,,S1G Beacon,61,34,-62,920,3,1,,,,,,,0,1
44,,S1G Beacon,61,34,-58,920,3,1,,,,,,,0,0
45,,S1G Beacon,129,34,-62,920,3,1,,,,,,,0,1
47,,S1G Beacon,129,34,-59,920,3,1,,,,,,,0,0
48,,S1G Beacon,61,34,-63,920,3,1,,,,,,,0,1
49,,S1G Beacon,61,34,-59,920,3,1,,,,,,,0,0
50,,S1G Beacon,129,34,-63,920,3,1,,,,,,,0,1
58,,S1G Beacon,129,34,-59,920,3,1,,,,,,,0,0
62,,S1G Beacon,61,34,-63,920,3,1,,,,,,,0,1
63,,S1G Beacon,61,34,-57,920,3,1,,,,,,,0,0
65,,S1G Beacon,129,34,-64,920,3,1,,,,,,,0,1
66,,S1G Beacon,129,34,-57,920,3,1,,,,,,,0,0
67,,S1G Beacon,61,34,-65,920,3,1,,,,,,,0,1
68,,S1G Beacon,61,34,-59,920,3,1,,,,,,,0,0
76,,S1G Beacon,129,34,-65,920,3,1,,,,,,,0,1
77,,S1G Beacon,129,34,-58,920,3,1,,,,,,,0,0
78,,S1G Beacon,61,34,-64,920,3,1,,,,,,,0,1
83,,S1G Beacon,61,34,-58,920,3,1,,,,,,,0,0
88,,S1G Beacon,129,34,-63,920,3,1,,,,,,,0,1
99,,S1G Beacon,129,34,-58,920,3,1,,,,,,,0,0
104,,RTS,54,34,0,920,1,11,,,,0,0,0,2812,0
107,,S1G Beacon,61,34,-60,920,3,1,,,,,,,0,1
108,,S1G Beacon,61,34,-58,920,3,1,,,,,,,0,0
109,,S1G Beacon,129,34,-63,920,3,1,,,,,,,0,1
111,,S1G Beacon,129,34,-58,920,3,1,,,,,,,0,0
112,,S1G Beacon,61,34,-61,920,3,1,,,,,,,0,1
113,,S1G Beacon,61,34,-59,920,3,1,,,,,,,0,0
114,,S1G Beacon,129,34,-61,920,3,1,,,,,,,0,1
115,,S1G Beacon,129,34,-57,920,3,1,,,,,,,0,0
116,,S1G Beacon,61,34,-64,920,3,1,,,,,,,0,1
117,,S1G Beacon,61,34,-58,920,3,1,,,,,,,0,0
118,,S1G Beacon,129,34,-60,920,3,1,,,,,,,0,1
119,,S1G Beacon,129,34,-58,920,3,1,,,,,,,0,0
130,,S1G Beacon,61,34,-63,920,3,1,,,,,,,0,1
133,,S1G Beacon,61,34,-58,920,3,1,,,,,,,0,0
134,,S1G Beacon,129,34,-59,920,3,1,,,,,,,0,1
135,,S1G Beacon,129,34,-59,920,3,1,,,,,,,0,0
137,,S1G Beacon,61,34,-58,920,3,1,,,,,,,0,1
138,,S1G Beacon,61,34,-58,920,3,1,,,,,,,0,0
139,,S1G Beacon,129,34,-59,920,3,1,,,,,,,0,1
140,,S1G Beacon,129,34,-59,920,3,1,,,,,,,0,0
142,,S1G Beacon,61,34,-59,920,3,1,,,,,,,0,1
143,,S1G Beacon,61,34,-60,920,3,1,,,,,,,0,0
145,,S1G Beacon,129,34,-58,920,3,1,,,,,,,0,1
146,,S1G Beacon,129,34,-59,920,3,1,,,,,,,0,0
159,,S1G Beacon,61,34,-60,920,3,1,,,,,,,0,1
160,,S1G Beacon,61,34,-58,920,3,1,,,,,,,0,0
161,,S1G Beacon,129,34,-60,920,3,1,,,,,,,0,1
163,,S1G Beacon,129,34,-59,920,3,1,,,,,,,0,0
165,,S1G Beacon,61,34,-60,920,3,1,,,,,,,0,1
166,,S1G Beacon,61,34,-58,920,3,1,,,,,,,0,0
167,,S1G Beacon,129,34,-57,920,3,1,,,,,,,0,1
168,,S1G Beacon,129,34,-60,920,3,1,,,,,,,0,0
