packet_number,timestamp,frame_name,frame_len,length,dbm_antsignal,channel_freq,type,subtype,ds,frag,retry,pwrmgt,moredata,protected,duration,label
78,2026-06-29T15:40:20.318025000Z,QoS Data,149,34,-10,920,2,8,1,0,0,0,0,1,720,0
80,2026-06-29T15:40:20.320684000Z,QoS Data,149,34,-37,920,2,8,0,0,0,0,0,1,720,0
82,2026-06-29T15:40:20.325920000Z,QoS Data,131,34,-17,920,2,8,1,0,0,0,0,1,720,0
84,2026-06-29T15:40:20.328164000Z,QoS Data,131,34,-35,920,2,8,0,0,0,0,0,1,720,0
86,2026-06-29T15:40:20.399776000Z,QoS Data,128,34,-10,920,2,8,1,0,0,0,0,1,720,0
89,2026-06-29T15:40:20.980997000Z,S1G Beacon,61,34,-32,920,3,1,,,,,,,0,0
90,2026-06-29T15:40:21.317196000Z,Data,390,34,-33,920,2,0,0,0,0,0,0,1,0,0
91,2026-06-29T15:40:21.328365000Z,Data,390,34,-31,920,2,0,0,0,0,0,0,1,0,0
92,2026-06-29T15:40:21.339780000Z,Data,399,34,-33,920,2,0,0,0,0,0,0,1,0,0
93,2026-06-29T15:40:21.351190000Z,Data,399,34,-31,920,2,0,0,0,0,0,0,1,0,0
94,2026-06-29T15:40:21.364084000Z,Data,454,34,-31,920,2,0,0,0,0,0,0,1,0,0
95,2026-06-29T15:40:21.376982000Z,Data,454,34,-33,920,2,0,0,0,0,0,0,1,0,0
96,2026-06-29T15:40:21.390130000Z,Data,464,34,-31,920,2,0,0,0,0,0,0,1,0,0
97,2026-06-29T15:40:21.403250000Z,Data,464,34,-33,920,2,0,0,0,0,0,0,1,0,0
98,2026-06-29T15:40:21.411628000Z,Data,287,34,-33,920,2,0,0,0,0,0,0,1,0,0
99,2026-06-29T15:40:21.802022000Z,S1G Beacon,129,34,-30,920,3,1,,,,,,,0,0
100,2026-06-29T15:40:22.619447000Z,S1G Beacon,61,34,-33,920,3,1,,,,,,,0,0
101,2026-06-29T15:40:23.440476000Z,S1G Beacon,129,34,-29,920,3,1,,,,,,,0,0
102,2026-06-29T15:40:24.257902000Z,S1G Beacon,61,34,-28,920,3,1,,,,,,,0,0
103,2026-06-29T15:40:24.434360000Z,Data,287,34,-29,920,2,0,0,0,0,0,0,1,0,0
104,2026-06-29T15:40:25.078930000Z,S1G Beacon,129,34,-29,920,3,1,,,,,,,0,0
105,2026-06-29T15:40:25.342044000Z,QoS Data,149,34,-14,920,2,8,1,0,0,0,0,1,720,0
107,2026-06-29T15:40:25.344819000Z,QoS Data,149,34,-33,920,2,8,0,0,0,0,0,1,720,0
109,2026-06-29T15:40:25.350629000Z,QoS Data,131,34,-17,920,2,8,1,0,0,0,0,1,720,0
111,2026-06-29T15:40:25.353496000Z,QoS Data,131,34,-31,920,2,8,0,0,0,0,0,1,720,0
113,2026-06-29T15:40:25.400200000Z,QoS Data,128,34,-13,920,2,8,1,0,0,0,0,1,720,0
115,2026-06-29T15:40:25.402525000Z,QoS Data,128,34,-33,920,2,8,0,0,0,0,0,1,720,0
117,2026-06-29T15:40:25.404962000Z,QoS Data,128,34,-33,920,2,8,0,0,1,0,0,1,720,0
119,2026-06-29T15:40:25.409781000Z,QoS Data,128,34,-32,920,2,8,0,0,1,0,0,1,720,0
121,2026-06-29T15:40:25.896348000Z,S1G Beacon,61,34,-29,920,3,1,,,,,,,0,0
122,2026-06-29T15:40:26.717377000Z,S1G Beacon,129,34,-30,920,3,1,,,,,,,0,0
123,2026-06-29T15:40:27.458414000Z,Data,287,34,-31,920,2,0,0,0,0,0,0,1,0,0
124,2026-06-29T15:40:27.534789000Z,S1G Beacon,61,34,-30,920,3,1,,,,,,,0,0
125,2026-06-29T15:40:27.598271000Z,Data,132,34,-31,920,2,0,0,0,0,0,0,1,0,0
126,2026-06-29T15:40:28.355833000Z,S1G Beacon,129,34,-33,920,3,1,,,,,,,0,0
127,2026-06-29T15:40:29.173248000Z,S1G Beacon,61,34,-31,920,3,1,,,,,,,0,0
128,2026-06-29T15:40:29.994278000Z,S1G Beacon,129,34,-32,920,3,1,,,,,,,0,0
130,2026-06-29T15:40:30.370224000Z,QoS Data,149,34,-39,920,2,8,0,0,0,0,0,1,720,0
132,2026-06-29T15:40:30.375981000Z,QoS Data,131,34,-17,920,2,8,1,0,0,0,0,1,720,0
134,2026-06-29T15:40:30.378278000Z,QoS Data,131,34,-41,920,2,8,0,0,0,0,0,1,720,0
136,2026-06-29T15:40:30.400170000Z,QoS Data,128,34,-13,920,2,8,1,0,0,0,0,1,720,0
139,2026-06-29T15:40:30.482775000Z,Data,287,34,-37,920,2,0,0,0,0,0,0,1,0,0
140,2026-06-29T15:40:30.811699000Z,S1G Beacon,61,34,-36,920,3,1,,,,,,,0,0
