packet_number,tsft,frame_name,frame_len,length,dbm_antsignal,channel_freq,type,subtype,ds,frag,retry,pwrmgt,moredata,protected,duration,label
1,,S1G Beacon,129,34,-57,920,3,1,,,,,,,0,1
2,,S1G Beacon,129,34,-59,920,3,1,,,,,,,0,0
12,,S1G Beacon,61,34,-56,920,3,1,,,,,,,0,1
13,,S1G Beacon,61,34,-57,920,3,1,,,,,,,0,0
14,,S1G Beacon,129,34,-58,920,3,1,,,,,,,0,1
15,,S1G Beacon,129,34,-57,920,3,1,,,,,,,0,0
16,,S1G Beacon,61,34,-57,920,3,1,,,,,,,0,1
17,,S1G Beacon,61,34,-58,920,3,1,,,,,,,0,0
18,,S1G Beacon,129,34,-59,920,3,1,,,,,,,0,0
20,,S1G Beacon,61,34,-57,920,3,1,,,,,,,0,1
21,,S1G Beacon,61,34,-57,920,3,1,,,,,,,0,0
29,,RTS,54,34,0,920,1,11,,,,0,0,0,2380,0
31,,RTS,54,34,0,920,1,11,,,,0,0,0,2380,0
33,,RTS,54,34,0,920,1,11,,,,0,0,0,2416,0
37,,S1G Beacon,129,34,-58,920,3,1,,,,,,,0,1
38,,S1G Beacon,129,34,-58,920,3,1,,,,,,,0,0
39,,S1G Beacon,61,34,-57,920,3,1,,,,,,,0,1
40,,S1G Beacon,61,34,-60,920,3,1,,,,,,,0,0
42,,S1G Beacon,129,34,-57,920,3,1,,,,,,,0,1
43,,S1G Beacon,129,34,-58,920,3,1,,,,,,,0,0
44,,S1G Beacon,61,34,-56,920,3,1,,,,,,,0,1
45,,S1G Beacon,61,34,-59,920,3,1,,,,,,,0,0
47,,S1G Beacon,129,34,-59,920,3,1,,,,,,,0,1
48,,S1G Beacon,129,34,-58,920,3,1,,,,,,,0,0
55,,S1G Beacon,61,34,-59,920,3,1,,,,,,,0,1
57,,S1G Beacon,61,34,-58,920,3,1,,,,,,,0,0
69,,RTS,54,34,0,920,1,11,,,,0,0,0,2380,0
71,,RTS,54,34,0,920,1,11,,,,0,0,0,2380,0
73,,RTS,54,34,0,920,1,11,,,,0,0,0,2416,0
75,,RTS,54,34,0,920,1,11,,,,0,0,0,2416,0
