packet_number,timestamp,frame_name,frame_len,length,dbm_antsignal,channel_freq,type,subtype,ds,frag,retry,pwrmgt,moredata,protected,duration,label
1,2026-06-27T17:29:33.615686000Z,S1G Beacon,61,34,-15,920,3,1,,,,,,,0,0
2,2026-06-27T17:29:34.436646000Z,S1G Beacon,129,34,-15,920,3,1,,,,,,,0,0
3,2026-06-27T17:29:34.960841000Z,Data,287,34,-16,920,2,0,0,0,0,0,0,1,0,0
4,2026-06-27T17:29:35.254075000Z,S1G Beacon,61,34,-15,920,3,1,,,,,,,0,0
5,2026-06-27T17:29:35.552636000Z,Data,132,34,-15,920,2,0,0,0,0,0,0,1,0,0
6,2026-06-27T17:29:35.771604000Z,Data,378,34,-16,920,2,0,0,0,0,0,0,1,0,0
7,2026-06-27T17:29:35.838443000Z,QoS Data,149,34,-13,920,2,8,1,0,0,0,0,1,720,0
12,2026-06-27T17:29:35.875817000Z,Data,387,34,-16,920,2,0,0,0,0,0,0,1,0,0
13,2026-06-27T17:29:35.981207000Z,Data,450,34,-15,920,2,0,0,0,0,0,0,1,0,0
14,2026-06-27T17:29:36.075085000Z,S1G Beacon,129,34,-15,920,3,1,,,,,,,0,0
15,2026-06-27T17:29:36.087705000Z,Data,442,34,-17,920,2,0,0,0,0,0,0,1,0,0
16,2026-06-27T17:29:36.100724000Z,QoS Data,128,34,-14,920,2,8,1,0,0,0,0,1,720,0
19,2026-06-27T17:29:36.187650000Z,Data,387,34,-16,920,2,0,0,0,0,0,0,1,0,0
20,2026-06-27T17:29:36.292559000Z,Data,426,34,-15,920,2,0,0,0,0,0,0,1,0,0
21,2026-06-27T17:29:36.397516000Z,Data,458,34,-15,920,2,0,0,0,0,0,0,1,0,0
22,2026-06-27T17:29:36.499650000Z,Data,387,34,-15,920,2,0,0,0,0,0,0,1,0,0
23,2026-06-27T17:29:36.605030000Z,Data,446,34,-16,920,2,0,0,0,0,0,0,1,0,0
24,2026-06-27T17:29:36.708995000Z,Data,440,34,-15,920,2,0,0,0,0,0,0,1,0,0
25,2026-06-27T17:29:36.811651000Z,Data,387,34,-16,920,2,0,0,0,0,0,0,1,0,0
26,2026-06-27T17:29:36.892506000Z,S1G Beacon,61,34,-16,920,3,1,,,,,,,0,0
27,2026-06-27T17:29:36.916990000Z,Data,442,34,-16,920,2,0,0,0,0,0,0,1,0,0
28,2026-06-27T17:29:37.021512000Z,Data,452,34,-16,920,2,0,0,0,0,0,0,1,0,0
29,2026-06-27T17:29:37.713546000Z,S1G Beacon,129,34,-16,920,3,1,,,,,,,0,0
30,2026-06-27T17:29:37.984926000Z,Data,287,34,-16,920,2,0,0,0,0,0,0,1,0,0
31,2026-06-27T17:29:38.243142000Z,Data,118,34,-15,920,2,0,0,0,0,0,0,1,0,0
32,2026-06-27T17:29:38.530973000Z,S1G Beacon,61,34,-16,920,3,1,,,,,,,0,0
33,2026-06-27T17:29:39.351989000Z,S1G Beacon,129,34,-15,920,3,1,,,,,,,0,0
34,2026-06-27T17:29:40.169421000Z,S1G Beacon,61,34,-16,920,3,1,,,,,,,0,0
35,2026-06-27T17:29:40.862398000Z,QoS Data,149,34,-13,920,2,8,1,0,0,0,0,1,720,0
