host_timestamp,local_time,cpu_used_pct,ram_used_pct
1781276404.3137524,2026-06-12 17:00:04,0.0,71.94
1781276409.3287017,2026-06-12 17:00:09,24.1,71.94
1781276414.3358982,2026-06-12 17:00:14,27.45,71.94
1781276419.32755,2026-06-12 17:00:19,43.31,71.94
1781276424.3219435,2026-06-12 17:00:24,37.47,71.94
1781276429.3123486,2026-06-12 17:00:29,36.87,71.94
1781276434.3101578,2026-06-12 17:00:34,42.4,71.94
1781276439.3164258,2026-06-12 17:00:39,36.93,71.94
1781276444.3156981,2026-06-12 17:00:44,37.8,71.94
1781276449.338238,2026-06-12 17:00:49,37.45,71.94
1781276454.3372557,2026-06-12 17:00:54,38.48,71.94
1781276459.3170285,2026-06-12 17:00:59,37.07,71.94
1781276464.3431895,2026-06-12 17:01:04,40.6,71.94
1781276469.3120205,2026-06-12 17:01:09,36.27,71.94
1781276474.342112,2026-06-12 17:01:14,42.35,71.94
1781276479.3353255,2026-06-12 17:01:19,36.07,71.94
1781276484.3371716,2026-06-12 17:01:24,37.13,71.94
1781276489.3336282,2026-06-12 17:01:29,73.15,71.94
1781276494.3623562,2026-06-12 17:01:34,50.2,71.94
1781276499.3115835,2026-06-12 17:01:39,68.75,71.94
1781276504.3607495,2026-06-12 17:01:44,38.02,71.94
1781276509.3344631,2026-06-12 17:01:49,43.66,71.94
1781276514.3517983,2026-06-12 17:01:54,36.33,71.94
1781276519.3344443,2026-06-12 17:01:59,39.68,71.94
1781276524.3364027,2026-06-12 17:02:04,42.91,71.94
1781276529.3212147,2026-06-12 17:02:09,42.97,71.94
1781276534.3180094,2026-06-12 17:02:14,42.6,71.94
1781276539.316453,2026-06-12 17:02:19,42.69,71.94
1781276544.3140323,2026-06-12 17:02:24,41.4,71.94
1781276549.3369682,2026-06-12 17:02:29,41.83,71.94
1781276554.313858,2026-06-12 17:02:34,40.96,71.94
1781276559.3210511,2026-06-12 17:02:39,44.8,71.94
1781276564.3243685,2026-06-12 17:02:44,43.6,71.94
1781276569.3167741,2026-06-12 17:02:49,45.2,71.94
1781276574.3143418,2026-06-12 17:02:54,39.2,71.94
1781276579.3316786,2026-06-12 17:02:59,42.71,71.94
1781276584.350014,2026-06-12 17:03:04,44.82,72.31
1781276589.3160002,2026-06-12 17:03:09,37.02,72.31
1781276594.3164434,2026-06-12 17:03:14,27.8,72.31
1781276599.332548,2026-06-12 17:03:19,29.14,72.31
1781276604.3168547,2026-06-12 17:03:24,33.07,72.31
1781276609.33566,2026-06-12 17:03:29,31.67,72.31
1781276614.3173816,2026-06-12 17:03:34,32.93,72.41
1781276619.3577502,2026-06-12 17:03:39,32.14,72.41
1781276624.334184,2026-06-12 17:03:44,31.39,72.41
1781276629.3145704,2026-06-12 17:03:49,28.66,72.41
1781276634.3414474,2026-06-12 17:03:54,30.42,72.41
1781276639.3159943,2026-06-12 17:03:59,32.19,72.41
1781276644.3167481,2026-06-12 17:04:04,30.8,72.41
1781276649.3148088,2026-06-12 17:04:09,31.4,72.41
1781276654.3168,2026-06-12 17:04:14,32.6,72.41
1781276659.3347383,2026-06-12 17:04:19,29.74,72.41
1781276664.323828,2026-06-12 17:04:24,29.2,72.41
1781276669.3492608,2026-06-12 17:04:29,32.07,72.41
1781276674.3197968,2026-06-12 17:04:34,33.0,72.41
1781276679.3195646,2026-06-12 17:04:39,28.6,72.41
1781276684.3205552,2026-06-12 17:04:44,30.8,72.41
1781276689.3178153,2026-06-12 17:04:49,34.8,72.41
