packet_number,tsf,frame_name,frame_len,length,dbm_antsignal,channel_freq,type,subtype,ds,frag,retry,pwrmgt,moredata,protected,duration,label
1,23335761624,S1G Beacon,61,34,-28,920,3,1,,,,,,,0,0
2,23336310250,Data,287,34,-29,920,2,0,0,0,0,0,0,1,0,0
3,23336580828,S1G Beacon,129,34,-28,920,3,1,,,,,,,0,0
4,23337280469,Authentication,166,34,-69,920,0,11,0,0,0,0,0,0,0,0
5,23337378776,Authentication,166,34,-68,920,0,11,0,0,0,0,0,0,0,0
6,23337400030,S1G Beacon,61,34,-30,920,3,1,,,,,,,0,0
7,23337429555,Authentication,166,34,-28,920,0,11,0,0,0,0,0,0,720,0
8,23337435339,Authentication,166,34,-28,920,0,11,0,0,1,0,0,0,720,0
9,23337441226,Authentication,166,34,-28,920,0,11,0,0,1,0,0,0,720,0
10,23337447113,Authentication,166,34,-29,920,0,11,0,0,1,0,0,0,720,0
11,23337509848,Authentication,166,34,-72,920,0,11,0,0,0,0,0,0,0,0
12,23337640919,Authentication,166,34,-68,920,0,11,0,0,0,0,0,0,0,0
13,23337653574,Authentication,166,34,-27,920,0,11,0,0,1,0,0,0,720,0
14,23337659410,Authentication,166,34,-29,920,0,11,0,0,1,0,0,0,720,0
15,23337665141,Authentication,166,34,-30,920,0,11,0,0,1,0,0,0,720,0
16,23337771990,Authentication,166,34,-69,920,0,11,0,0,0,0,0,0,0,0
17,23337903061,Authentication,166,34,-74,920,0,11,0,0,0,0,0,0,0,0
18,23338011164,Authentication,166,34,-26,920,0,11,0,0,1,0,0,0,720,0
19,23338017052,Authentication,166,34,-28,920,0,11,0,0,1,0,0,0,720,0
20,23338022626,Authentication,166,34,-30,920,0,11,0,0,1,0,0,0,720,0
21,23338034132,Authentication,166,34,-68,920,0,11,0,0,0,0,0,0,0,0
22,23338165204,Authentication,166,34,-68,920,0,11,0,0,0,0,0,0,0,0
23,23338219236,S1G Beacon,129,34,-30,920,3,1,,,,,,,0,0
24,23338227454,Authentication,166,34,-29,920,0,11,0,0,0,0,0,0,720,0
