packet_number,tsft,frame_name,frame_len,length,dbm_antsignal,channel_freq,type,subtype,ds,frag,retry,pwrmgt,moredata,protected,duration,label
1,,S1G Beacon,129,34,-57,920,3,1,,,,,,,0,1
4,,RTS,54,34,-1,920,1,11,,,,0,0,0,3388,0
17,,S1G Beacon,129,34,-57,920,3,1,,,,,,,0,0
18,,S1G Beacon,61,34,-57,920,3,1,,,,,,,0,1
19,,S1G Beacon,61,34,-58,920,3,1,,,,,,,0,0
20,,S1G Beacon,129,34,-59,920,3,1,,,,,,,0,1
21,,S1G Beacon,129,34,-59,920,3,1,,,,,,,0,0
22,,S1G Beacon,61,34,-57,920,3,1,,,,,,,0,1
24,,S1G Beacon,61,34,-60,920,3,1,,,,,,,0,0
25,,S1G Beacon,129,34,-57,920,3,1,,,,,,,0,1
30,,S1G Beacon,129,34,-58,920,3,1,,,,,,,0,0
34,,S1G Beacon,61,34,-59,920,3,1,,,,,,,0,1
40,,S1G Beacon,61,34,-58,920,3,1,,,,,,,0,0
43,,S1G Beacon,129,34,-60,920,3,1,,,,,,,0,1
58,,S1G Beacon,129,34,-64,920,3,1,,,,,,,0,0
59,,S1G Beacon,61,34,-59,920,3,1,,,,,,,0,1
61,,S1G Beacon,61,34,-58,920,3,1,,,,,,,0,0
62,,S1G Beacon,129,34,-58,920,3,1,,,,,,,0,1
63,,S1G Beacon,129,34,-58,920,3,1,,,,,,,0,0
64,,S1G Beacon,61,34,-59,920,3,1,,,,,,,0,1
65,,S1G Beacon,61,34,-59,920,3,1,,,,,,,0,0
66,,S1G Beacon,129,34,-60,920,3,1,,,,,,,0,1
67,,S1G Beacon,129,34,-59,920,3,1,,,,,,,0,0
69,,S1G Beacon,61,34,-60,920,3,1,,,,,,,0,1
70,,S1G Beacon,61,34,-58,920,3,1,,,,,,,0,0
71,,S1G Beacon,129,34,-59,920,3,1,,,,,,,0,1
79,,S1G Beacon,129,34,-58,920,3,1,,,,,,,0,0
83,,S1G Beacon,61,34,-58,920,3,1,,,,,,,0,1
85,,S1G Beacon,61,34,-59,920,3,1,,,,,,,0,0
86,,S1G Beacon,129,34,-58,920,3,1,,,,,,,0,1
88,,Deauthentication,64,34,-64,920,0,12,0,0,0,0,0,0,0,0
89,,S1G Beacon,129,34,-58,920,3,1,,,,,,,0,0
90,,S1G Beacon,61,34,-58,920,3,1,,,,,,,0,0
91,,S1G Beacon,129,34,-64,920,3,1,,,,,,,0,1
92,,S1G Beacon,129,34,-58,920,3,1,,,,,,,0,0
93,,S1G Beacon,61,34,-57,920,3,1,,,,,,,0,1
94,,S1G Beacon,61,34,-58,920,3,1,,,,,,,0,0
95,,Probe Request,81,34,-1,920,0,4,0,0,0,0,0,0,0,0
96,,Probe Request,81,34,0,920,0,4,0,0,0,0,0,0,0,0
97,,Probe Response,161,34,-58,920,0,5,0,0,0,0,0,0,720,1
99,,Probe Response,161,34,-57,920,0,5,0,0,0,0,0,0,720,1
101,,Probe Response,168,34,-57,920,0,5,0,0,0,0,0,0,720,0
103,,Probe Response,168,34,-57,920,0,5,0,0,0,0,0,0,720,0
105,,Probe Response,168,34,-57,920,0,5,0,0,1,0,0,0,720,0
106,,Probe Response,168,34,-58,920,0,5,0,0,1,0,0,0,720,0
109,,S1G Beacon,129,34,-59,920,3,1,,,,,,,0,1
111,,S1G Beacon,61,34,-59,920,3,1,,,,,,,0,1
112,,S1G Beacon,61,34,-58,920,3,1,,,,,,,0,0
113,,S1G Beacon,129,34,-58,920,3,1,,,,,,,0,1
115,,S1G Beacon,129,34,-58,920,3,1,,,,,,,0,0
116,,S1G Beacon,61,34,-56,920,3,1,,,,,,,0,1
117,,Authentication,68,34,-2,920,0,11,0,0,0,0,0,0,720,1
