host_timestamp,local_time,cpu_used_pct,ram_used_pct
1782149369.4199007,2026-06-22 19:29:29,0.0,66.9
1782149374.4503946,2026-06-22 19:29:34,31.75,66.9
1782149379.4297907,2026-06-22 19:29:39,33.53,66.9
1782149384.4229589,2026-06-22 19:29:44,30.86,66.9
1782149389.4229891,2026-06-22 19:29:49,30.34,66.9
1782149394.4375997,2026-06-22 19:29:54,33.93,66.9
1782149399.4259105,2026-06-22 19:29:59,30.8,66.9
1782149404.4393473,2026-06-22 19:30:04,31.14,66.9
1782149409.4524186,2026-06-22 19:30:09,33.93,66.9
1782149414.4291174,2026-06-22 19:30:14,31.33,66.9
1782149419.4290922,2026-06-22 19:30:19,30.54,66.9
1782149424.4473221,2026-06-22 19:30:24,31.74,66.9
1782149429.4303174,2026-06-22 19:30:29,32.46,66.9
1782149434.431485,2026-06-22 19:30:34,31.34,66.9
1782149439.4306974,2026-06-22 19:30:39,33.6,66.9
1782149444.431279,2026-06-22 19:30:44,36.8,66.9
1782149449.434795,2026-06-22 19:30:49,35.33,66.9
1782149454.4340124,2026-06-22 19:30:54,36.6,66.9
1782149459.471662,2026-06-22 19:30:59,37.57,66.9
1782149464.4420571,2026-06-22 19:31:04,32.13,66.9
1782149469.4334676,2026-06-22 19:31:09,32.0,66.9
1782149474.4433682,2026-06-22 19:31:14,30.6,66.9
1782149479.437531,2026-06-22 19:31:19,32.93,66.9
1782149484.4419742,2026-06-22 19:31:24,31.4,66.9
1782149489.4596565,2026-06-22 19:31:29,31.27,66.9
1782149494.451609,2026-06-22 19:31:34,33.6,66.9
1782149499.4512584,2026-06-22 19:31:39,31.46,66.9
1782149504.458542,2026-06-22 19:31:44,31.94,66.9
1782149509.4589014,2026-06-22 19:31:49,32.8,66.9
1782149514.4537923,2026-06-22 19:31:54,31.8,66.9
1782149519.4542406,2026-06-22 19:31:59,29.6,66.9
1782149524.4775884,2026-06-22 19:32:04,32.07,66.9
1782149529.4537258,2026-06-22 19:32:09,33.4,66.9
1782149534.4667144,2026-06-22 19:32:14,31.74,66.9
1782149539.4604974,2026-06-22 19:32:19,30.46,66.9
1782149544.474106,2026-06-22 19:32:24,33.73,66.9
1782149549.4616702,2026-06-22 19:32:29,30.66,66.9
1782149554.483809,2026-06-22 19:32:34,30.4,66.9
1782149559.46589,2026-06-22 19:32:39,35.2,66.9
1782149564.4653063,2026-06-22 19:32:44,32.4,66.9
1782149569.4627204,2026-06-22 19:32:49,29.66,66.9
1782149574.485726,2026-06-22 19:32:54,32.21,66.9
1782149579.4660912,2026-06-22 19:32:59,31.79,66.9
1782149584.4966125,2026-06-22 19:33:04,32.21,66.9
1782149589.483966,2026-06-22 19:33:09,33.0,66.9
1782149594.4741821,2026-06-22 19:33:14,34.4,66.9
1782149599.4772606,2026-06-22 19:33:19,30.6,66.9
1782149604.4739897,2026-06-22 19:33:24,30.6,66.9
1782149609.5051165,2026-06-22 19:33:29,32.34,66.9
1782149614.4735737,2026-06-22 19:33:34,34.74,66.9
1782149619.4735632,2026-06-22 19:33:39,32.0,66.9
1782149624.4815009,2026-06-22 19:33:44,31.0,66.9
1782149629.4734137,2026-06-22 19:33:49,32.93,66.9
1782149634.4752579,2026-06-22 19:33:54,31.0,66.9
1782149639.4856699,2026-06-22 19:33:59,30.14,66.9
1782149644.4877825,2026-06-22 19:34:04,33.53,66.9
1782149649.4774883,2026-06-22 19:34:09,31.86,66.9
1782149654.4937046,2026-06-22 19:34:14,30.94,66.9
1782149659.4962056,2026-06-22 19:34:19,30.74,66.9
1782149664.4828248,2026-06-22 19:34:24,33.47,66.9
1782149669.4876914,2026-06-22 19:34:29,30.54,66.9
1782149674.4908233,2026-06-22 19:34:34,31.2,66.9
1782149679.4948173,2026-06-22 19:34:39,35.33,66.9
1782149684.497818,2026-06-22 19:34:44,31.8,66.9
1782149689.495906,2026-06-22 19:34:49,30.26,66.9
1782149694.531662,2026-06-22 19:34:54,33.0,66.9
1782149699.513797,2026-06-22 19:34:59,30.86,66.9
1782149704.4953728,2026-06-22 19:35:04,30.52,66.9
1782149709.5140357,2026-06-22 19:35:09,32.4,66.9
