attack_type,packet Number,event_type,time_stamp,signal_strength,ssid,bssid,src,dst,reason,status,details
,144,S1G Beacon,2026-07-07T13:31:45.345828000Z,-60,,,9c:04:b6:46:07:34,,,,
,146,S1G Beacon,2026-07-07T13:31:46.104222000Z,-58,H7608,,78:72:64:ea:b9:14,,,,
,147,S1G Beacon,2026-07-07T13:31:46.166863000Z,-59,H7608,,9c:04:b6:46:07:34,,,,
,151,S1G Beacon,2026-07-07T13:31:46.921643000Z,-60,,,78:72:64:ea:b9:14,,,,
,158,S1G Beacon,2026-07-07T13:31:46.984275000Z,-60,,,9c:04:b6:46:07:34,,,,
,169,S1G Beacon,2026-07-07T13:31:47.742675000Z,-59,H7608,,78:72:64:ea:b9:14,,,,
,171,S1G Beacon,2026-07-07T13:31:47.805304000Z,-59,H7608,,9c:04:b6:46:07:34,,,,
,175,S1G Beacon,2026-07-07T13:31:48.622737000Z,-60,,,9c:04:b6:46:07:34,,,,
,177,S1G Beacon,2026-07-07T13:31:49.381135000Z,-59,H7608,,78:72:64:ea:b9:14,,,,
,178,S1G Beacon,2026-07-07T13:31:49.443767000Z,-60,H7608,,9c:04:b6:46:07:34,,,,
,179,S1G Beacon,2026-07-07T13:31:50.198551000Z,-58,,,78:72:64:ea:b9:14,,,,
,180,S1G Beacon,2026-07-07T13:31:50.261184000Z,-63,,,9c:04:b6:46:07:34,,,,
,182,S1G Beacon,2026-07-07T13:31:51.019583000Z,-59,H7608,,78:72:64:ea:b9:14,,,,
,183,S1G Beacon,2026-07-07T13:31:51.082205000Z,-61,H7608,,9c:04:b6:46:07:34,,,,
,184,S1G Beacon,2026-07-07T13:31:51.837003000Z,-59,,,78:72:64:ea:b9:14,,,,
,186,S1G Beacon,2026-07-07T13:31:51.900509000Z,-61,,,9c:04:b6:46:07:34,,,,
,200,S1G Beacon,2026-07-07T13:31:52.658032000Z,-59,H7608,,78:72:64:ea:b9:14,,,,
,201,S1G Beacon,2026-07-07T13:31:52.720653000Z,-61,H7608,,9c:04:b6:46:07:34,,,,
,202,S1G Beacon,2026-07-07T13:31:53.475468000Z,-59,,,78:72:64:ea:b9:14,,,,
,203,S1G Beacon,2026-07-07T13:31:53.538074000Z,-60,,,9c:04:b6:46:07:34,,,,
,204,S1G Beacon,2026-07-07T13:31:54.296482000Z,-58,H7608,,78:72:64:ea:b9:14,,,,
,205,S1G Beacon,2026-07-07T13:31:54.359102000Z,-59,H7608,,9c:04:b6:46:07:34,,,,
,207,S1G Beacon,2026-07-07T13:31:55.113897000Z,-59,,,78:72:64:ea:b9:14,,,,
,208,S1G Beacon,2026-07-07T13:31:55.176519000Z,-60,,,9c:04:b6:46:07:34,,,,
,209,S1G Beacon,2026-07-07T13:31:55.934931000Z,-58,H7608,,78:72:64:ea:b9:14,,,,
,210,S1G Beacon,2026-07-07T13:31:55.997547000Z,-59,H7608,,9c:04:b6:46:07:34,,,,
,211,S1G Beacon,2026-07-07T13:31:56.752351000Z,-60,,,78:72:64:ea:b9:14,,,,
,212,S1G Beacon,2026-07-07T13:31:56.814966000Z,-60,,,9c:04:b6:46:07:34,,,,
,223,S1G Beacon,2026-07-07T13:31:57.573380000Z,-59,H7608,,78:72:64:ea:b9:14,,,,
,224,S1G Beacon,2026-07-07T13:31:57.635998000Z,-60,H7608,,9c:04:b6:46:07:34,,,,
,226,S1G Beacon,2026-07-07T13:31:58.390801000Z,-59,,,78:72:64:ea:b9:14,,,,
,227,S1G Beacon,2026-07-07T13:31:58.453418000Z,-60,,,9c:04:b6:46:07:34,,,,
,229,S1G Beacon,2026-07-07T13:31:59.211829000Z,-60,H7608,,78:72:64:ea:b9:14,,,,
,230,S1G Beacon,2026-07-07T13:31:59.274447000Z,-61,H7608,,9c:04:b6:46:07:34,,,,
,232,S1G Beacon,2026-07-07T13:32:00.029258000Z,-57,,,78:72:64:ea:b9:14,,,,
,233,S1G Beacon,2026-07-07T13:32:00.091861000Z,-60,,,9c:04:b6:46:07:34,,,,
,234,S1G Beacon,2026-07-07T13:32:00.850286000Z,-59,H7608,,78:72:64:ea:b9:14,,,,
,235,S1G Beacon,2026-07-07T13:32:00.912888000Z,-60,H7608,,9c:04:b6:46:07:34,,,,
,237,S1G Beacon,2026-07-07T13:32:01.667704000Z,-59,,,78:72:64:ea:b9:14,,,,
,238,S1G Beacon,2026-07-07T13:32:01.730311000Z,-59,,,9c:04:b6:46:07:34,,,,
,254,S1G Beacon,2026-07-07T13:32:02.488729000Z,-60,H7608,,78:72:64:ea:b9:14,,,,
,255,S1G Beacon,2026-07-07T13:32:02.551340000Z,-60,H7608,,9c:04:b6:46:07:34,,,,
,256,S1G Beacon,2026-07-07T13:32:03.306148000Z,-58,,,78:72:64:ea:b9:14,,,,
,257,S1G Beacon,2026-07-07T13:32:03.368760000Z,-60,,,9c:04:b6:46:07:34,,,,
,260,S1G Beacon,2026-07-07T13:32:04.127176000Z,-60,H7608,,78:72:64:ea:b9:14,,,,
,261,S1G Beacon,2026-07-07T13:32:04.189783000Z,-60,H7608,,9c:04:b6:46:07:34,,,,
,262,S1G Beacon,2026-07-07T13:32:04.944594000Z,-59,,,78:72:64:ea:b9:14,,,,
,263,S1G Beacon,2026-07-07T13:32:05.007198000Z,-65,,,9c:04:b6:46:07:34,,,,
,264,S1G Beacon,2026-07-07T13:32:05.765630000Z,-59,H7608,,78:72:64:ea:b9:14,,,,
,265,S1G Beacon,2026-07-07T13:32:05.828223000Z,-61,H7608,,9c:04:b6:46:07:34,,,,
,266,S1G Beacon,2026-07-07T13:32:06.583049000Z,-58,,,78:72:64:ea:b9:14,,,,
,267,S1G Beacon,2026-07-07T13:32:06.645649000Z,-64,,,9c:04:b6:46:07:34,,,,
,285,S1G Beacon,2026-07-07T13:32:07.404074000Z,-59,H7608,,78:72:64:ea:b9:14,,,,
,286,S1G Beacon,2026-07-07T13:32:07.466672000Z,-62,H7608,,9c:04:b6:46:07:34,,,,
,291,S1G Beacon,2026-07-07T13:32:08.221496000Z,-60,,,78:72:64:ea:b9:14,,,,
,293,S1G Beacon,2026-07-07T13:32:08.284091000Z,-62,,,9c:04:b6:46:07:34,,,,
,301,S1G Beacon,2026-07-07T13:32:09.042526000Z,-60,H7608,,78:72:64:ea:b9:14,,,,
,303,S1G Beacon,2026-07-07T13:32:09.105115000Z,-62,H7608,,9c:04:b6:46:07:34,,,,
,304,S1G Beacon,2026-07-07T13:32:09.859949000Z,-59,,,78:72:64:ea:b9:14,,,,
,305,S1G Beacon,2026-07-07T13:32:09.922538000Z,-62,,,9c:04:b6:46:07:34,,,,
,307,S1G Beacon,2026-07-07T13:32:10.680980000Z,-59,H7608,,78:72:64:ea:b9:14,,,,
,308,S1G Beacon,2026-07-07T13:32:10.743566000Z,-61,H7608,,9c:04:b6:46:07:34,,,,
,310,S1G Beacon,2026-07-07T13:32:11.498429000Z,-59,,,78:72:64:ea:b9:14,,,,
,311,S1G Beacon,2026-07-07T13:32:11.560996000Z,-62,,,9c:04:b6:46:07:34,,,,
,329,S1G Beacon,2026-07-07T13:32:12.319429000Z,-59,H7608,,78:72:64:ea:b9:14,,,,
,333,S1G Beacon,2026-07-07T13:32:12.382016000Z,-62,H7608,,9c:04:b6:46:07:34,,,,
,336,S1G Beacon,2026-07-07T13:32:13.136846000Z,-59,,,78:72:64:ea:b9:14,,,,
,337,S1G Beacon,2026-07-07T13:32:13.199442000Z,-62,,,9c:04:b6:46:07:34,,,,
,340,S1G Beacon,2026-07-07T13:32:13.957872000Z,-60,H7608,,78:72:64:ea:b9:14,,,,
,341,S1G Beacon,2026-07-07T13:32:14.020463000Z,-63,H7608,,9c:04:b6:46:07:34,,,,
,342,S1G Beacon,2026-07-07T13:32:14.775310000Z,-60,,,78:72:64:ea:b9:14,,,,
,343,S1G Beacon,2026-07-07T13:32:14.837878000Z,-61,,,9c:04:b6:46:07:34,,,,
,344,S1G Beacon,2026-07-07T13:32:15.596321000Z,-61,H7608,,78:72:64:ea:b9:14,,,,
,345,S1G Beacon,2026-07-07T13:32:15.658909000Z,-62,H7608,,9c:04:b6:46:07:34,,,,
,347,S1G Beacon,2026-07-07T13:32:16.413750000Z,-59,,,78:72:64:ea:b9:14,,,,
,348,S1G Beacon,2026-07-07T13:32:16.476324000Z,-62,,,9c:04:b6:46:07:34,,,,
,359,S1G Beacon,2026-07-07T13:32:17.234771000Z,-59,H7608,,78:72:64:ea:b9:14,,,,
,360,S1G Beacon,2026-07-07T13:32:17.297355000Z,-63,H7608,,9c:04:b6:46:07:34,,,,
,364,S1G Beacon,2026-07-07T13:32:18.052199000Z,-60,,,78:72:64:ea:b9:14,,,,
,365,S1G Beacon,2026-07-07T13:32:18.114773000Z,-61,,,9c:04:b6:46:07:34,,,,
,366,S1G Beacon,2026-07-07T13:32:18.873232000Z,-59,H7608,,78:72:64:ea:b9:14,,,,
,367,S1G Beacon,2026-07-07T13:32:18.935805000Z,-62,H7608,,9c:04:b6:46:07:34,,,,
,369,S1G Beacon,2026-07-07T13:32:19.690649000Z,-60,,,78:72:64:ea:b9:14,,,,
,370,S1G Beacon,2026-07-07T13:32:19.753221000Z,-62,,,9c:04:b6:46:07:34,,,,
,372,S1G Beacon,2026-07-07T13:32:20.511680000Z,-59,H7608,,78:72:64:ea:b9:14,,,,
,373,S1G Beacon,2026-07-07T13:32:20.574250000Z,-63,H7608,,9c:04:b6:46:07:34,,,,
,374,S1G Beacon,2026-07-07T13:32:21.329100000Z,-59,,,78:72:64:ea:b9:14,,,,
,375,S1G Beacon,2026-07-07T13:32:21.392085000Z,-63,,,9c:04:b6:46:07:34,,,,
,377,S1G Beacon,2026-07-07T13:32:22.150120000Z,-60,H7608,,78:72:64:ea:b9:14,,,,
,378,S1G Beacon,2026-07-07T13:32:22.212696000Z,-63,H7608,,9c:04:b6:46:07:34,,,,
,396,S1G Beacon,2026-07-07T13:32:22.967543000Z,-58,,,78:72:64:ea:b9:14,,,,
,397,S1G Beacon,2026-07-07T13:32:23.030120000Z,-65,,,9c:04:b6:46:07:34,,,,
,404,S1G Beacon,2026-07-07T13:32:23.788571000Z,-58,H7608,,78:72:64:ea:b9:14,,,,
,408,S1G Beacon,2026-07-07T13:32:23.851141000Z,-62,H7608,,9c:04:b6:46:07:34,,,,
,409,S1G Beacon,2026-07-07T13:32:24.605998000Z,-59,,,78:72:64:ea:b9:14,,,,
,410,S1G Beacon,2026-07-07T13:32:24.668566000Z,-63,,,9c:04:b6:46:07:34,,,,
,412,S1G Beacon,2026-07-07T13:32:25.427027000Z,-59,H7608,,78:72:64:ea:b9:14,,,,
,413,S1G Beacon,2026-07-07T13:32:25.489594000Z,-62,H7608,,9c:04:b6:46:07:34,,,,
,414,S1G Beacon,2026-07-07T13:32:26.244445000Z,-59,,,78:72:64:ea:b9:14,,,,
,415,S1G Beacon,2026-07-07T13:32:26.307010000Z,-61,,,9c:04:b6:46:07:34,,,,
,417,S1G Beacon,2026-07-07T13:32:27.065476000Z,-60,H7608,,78:72:64:ea:b9:14,,,,
,418,S1G Beacon,2026-07-07T13:32:27.128034000Z,-64,H7608,,9c:04:b6:46:07:34,,,,
,419,S1G Beacon,2026-07-07T13:32:27.945460000Z,-62,,,9c:04:b6:46:07:34,,,,
,421,S1G Beacon,2026-07-07T13:32:28.703927000Z,-60,H7608,,78:72:64:ea:b9:14,,,,
,431,S1G Beacon,2026-07-07T13:32:28.766481000Z,-65,H7608,,9c:04:b6:46:07:34,,,,
,451,S1G Beacon,2026-07-07T13:32:29.521367000Z,-60,,,78:72:64:ea:b9:14,,,,
,453,S1G Beacon,2026-07-07T13:32:29.583913000Z,-62,,,9c:04:b6:46:07:34,,,,
,459,S1G Beacon,2026-07-07T13:32:30.342384000Z,-60,H7608,,78:72:64:ea:b9:14,,,,
,460,S1G Beacon,2026-07-07T13:32:30.405090000Z,-63,H7608,,9c:04:b6:46:07:34,,,,
,461,S1G Beacon,2026-07-07T13:32:31.159805000Z,-59,,,78:72:64:ea:b9:14,,,,
,463,S1G Beacon,2026-07-07T13:32:31.222350000Z,-63,,,9c:04:b6:46:07:34,,,,
,465,S1G Beacon,2026-07-07T13:32:31.980833000Z,-61,H7608,,78:72:64:ea:b9:14,,,,
,466,S1G Beacon,2026-07-07T13:32:32.043382000Z,-63,H7608,,9c:04:b6:46:07:34,,,,
,467,S1G Beacon,2026-07-07T13:32:32.798248000Z,-60,,,78:72:64:ea:b9:14,,,,
,468,S1G Beacon,2026-07-07T13:32:32.860811000Z,-61,,,9c:04:b6:46:07:34,,,,
,469,S1G Beacon,2026-07-07T13:32:33.619283000Z,-59,H7608,,78:72:64:ea:b9:14,,,,
,470,S1G Beacon,2026-07-07T13:32:33.681824000Z,-62,H7608,,9c:04:b6:46:07:34,,,,
,487,S1G Beacon,2026-07-07T13:32:34.436694000Z,-61,,,78:72:64:ea:b9:14,,,,
,488,S1G Beacon,2026-07-07T13:32:34.503403000Z,-62,,,9c:04:b6:46:07:34,,,,
,489,S1G Beacon,2026-07-07T13:32:35.257726000Z,-60,H7608,,78:72:64:ea:b9:14,,,,
,490,S1G Beacon,2026-07-07T13:32:35.320277000Z,-62,H7608,,9c:04:b6:46:07:34,,,,
,491,S1G Beacon,2026-07-07T13:32:36.075158000Z,-60,,,78:72:64:ea:b9:14,,,,
,492,S1G Beacon,2026-07-07T13:32:36.137711000Z,-68,,,9c:04:b6:46:07:34,,,,
,494,S1G Beacon,2026-07-07T13:32:36.896189000Z,-59,H7608,,78:72:64:ea:b9:14,,,,
,495,S1G Beacon,2026-07-07T13:32:36.958725000Z,-63,H7608,,9c:04:b6:46:07:34,,,,
,497,S1G Beacon,2026-07-07T13:32:37.713602000Z,-59,,,78:72:64:ea:b9:14,,,,
,498,S1G Beacon,2026-07-07T13:32:37.776147000Z,-63,,,9c:04:b6:46:07:34,,,,
,499,S1G Beacon,2026-07-07T13:32:38.534631000Z,-59,H7608,,78:72:64:ea:b9:14,,,,
,500,S1G Beacon,2026-07-07T13:32:38.597170000Z,-62,H7608,,9c:04:b6:46:07:34,,,,
,512,S1G Beacon,2026-07-07T13:32:39.352049000Z,-59,,,78:72:64:ea:b9:14,,,,
,513,S1G Beacon,2026-07-07T13:32:39.414594000Z,-63,,,9c:04:b6:46:07:34,,,,
,514,S1G Beacon,2026-07-07T13:32:40.173084000Z,-60,H7608,,78:72:64:ea:b9:14,,,,
,515,S1G Beacon,2026-07-07T13:32:40.235620000Z,-62,H7608,,9c:04:b6:46:07:34,,,,
,517,S1G Beacon,2026-07-07T13:32:40.990530000Z,-59,,,78:72:64:ea:b9:14,,,,
,518,S1G Beacon,2026-07-07T13:32:41.053042000Z,-61,,,9c:04:b6:46:07:34,,,,
,519,S1G Beacon,2026-07-07T13:32:41.811547000Z,-60,H7608,,78:72:64:ea:b9:14,,,,
,520,S1G Beacon,2026-07-07T13:32:41.874063000Z,-62,H7608,,9c:04:b6:46:07:34,,,,
,521,S1G Beacon,2026-07-07T13:32:42.628955000Z,-58,,,78:72:64:ea:b9:14,,,,
,522,S1G Beacon,2026-07-07T13:32:42.691487000Z,-65,,,9c:04:b6:46:07:34,,,,
,525,S1G Beacon,2026-07-07T13:32:43.449981000Z,-60,H7608,,78:72:64:ea:b9:14,,,,
,526,S1G Beacon,2026-07-07T13:32:43.512517000Z,-66,H7608,,9c:04:b6:46:07:34,,,,
,540,S1G Beacon,2026-07-07T13:32:44.267405000Z,-59,,,78:72:64:ea:b9:14,,,,
,541,S1G Beacon,2026-07-07T13:32:44.329940000Z,-65,,,9c:04:b6:46:07:34,,,,
,542,S1G Beacon,2026-07-07T13:32:45.088440000Z,-59,H7608,,78:72:64:ea:b9:14,,,,
,543,S1G Beacon,2026-07-07T13:32:45.150964000Z,-64,H7608,,9c:04:b6:46:07:34,,,,
,545,S1G Beacon,2026-07-07T13:32:45.905856000Z,-58,,,78:72:64:ea:b9:14,,,,
,546,S1G Beacon,2026-07-07T13:32:45.968381000Z,-66,,,9c:04:b6:46:07:34,,,,
,548,S1G Beacon,2026-07-07T13:32:46.726880000Z,-60,H7608,,78:72:64:ea:b9:14,,,,
,549,S1G Beacon,2026-07-07T13:32:46.789410000Z,-62,H7608,,9c:04:b6:46:07:34,,,,
,552,S1G Beacon,2026-07-07T13:32:47.544301000Z,-57,,,78:72:64:ea:b9:14,,,,
,553,S1G Beacon,2026-07-07T13:32:47.606828000Z,-58,,,9c:04:b6:46:07:34,,,,
,554,S1G Beacon,2026-07-07T13:32:48.365333000Z,-58,H7608,,78:72:64:ea:b9:14,,,,
,555,S1G Beacon,2026-07-07T13:32:48.427851000Z,-60,H7608,,9c:04:b6:46:07:34,,,,
,568,S1G Beacon,2026-07-07T13:32:49.182750000Z,-58,,,78:72:64:ea:b9:14,,,,
,569,S1G Beacon,2026-07-07T13:32:49.245268000Z,-61,,,9c:04:b6:46:07:34,,,,
,574,S1G Beacon,2026-07-07T13:32:50.003773000Z,-58,H7608,,78:72:64:ea:b9:14,,,,
,576,S1G Beacon,2026-07-07T13:32:50.066294000Z,-59,H7608,,9c:04:b6:46:07:34,,,,
,584,S1G Beacon,2026-07-07T13:32:50.821200000Z,-58,,,78:72:64:ea:b9:14,,,,
,586,S1G Beacon,2026-07-07T13:32:50.883715000Z,-60,,,9c:04:b6:46:07:34,,,,
,589,S1G Beacon,2026-07-07T13:32:51.642226000Z,-60,H7608,,78:72:64:ea:b9:14,,,,
,590,S1G Beacon,2026-07-07T13:32:51.704953000Z,-59,H7608,,9c:04:b6:46:07:34,,,,
,592,S1G Beacon,2026-07-07T13:32:52.459643000Z,-59,,,78:72:64:ea:b9:14,,,,
,593,S1G Beacon,2026-07-07T13:32:52.522165000Z,-62,,,9c:04:b6:46:07:34,,,,
,594,S1G Beacon,2026-07-07T13:32:53.280680000Z,-59,H7608,,78:72:64:ea:b9:14,,,,
,595,S1G Beacon,2026-07-07T13:32:53.343189000Z,-66,H7608,,9c:04:b6:46:07:34,,,,
,607,S1G Beacon,2026-07-07T13:32:54.098095000Z,-61,,,78:72:64:ea:b9:14,,,,
,608,S1G Beacon,2026-07-07T13:32:54.160616000Z,-66,,,9c:04:b6:46:07:34,,,,
,609,S1G Beacon,2026-07-07T13:32:54.919127000Z,-60,H7608,,78:72:64:ea:b9:14,,,,
,610,S1G Beacon,2026-07-07T13:32:54.981630000Z,-66,H7608,,9c:04:b6:46:07:34,,,,
,612,S1G Beacon,2026-07-07T13:32:55.736546000Z,-60,,,78:72:64:ea:b9:14,,,,
,613,S1G Beacon,2026-07-07T13:32:55.799058000Z,-67,,,9c:04:b6:46:07:34,,,,
,614,S1G Beacon,2026-07-07T13:32:56.557577000Z,-59,H7608,,78:72:64:ea:b9:14,,,,
,615,S1G Beacon,2026-07-07T13:32:56.620083000Z,-67,H7608,,9c:04:b6:46:07:34,,,,
,616,S1G Beacon,2026-07-07T13:32:57.375004000Z,-59,,,78:72:64:ea:b9:14,,,,
,617,S1G Beacon,2026-07-07T13:32:57.437507000Z,-66,,,9c:04:b6:46:07:34,,,,
,618,S1G Beacon,2026-07-07T13:32:58.196028000Z,-59,H7608,,78:72:64:ea:b9:14,,,,
,619,S1G Beacon,2026-07-07T13:32:58.258530000Z,-66,H7608,,9c:04:b6:46:07:34,,,,
,629,S1G Beacon,2026-07-07T13:32:59.013452000Z,-58,,,78:72:64:ea:b9:14,,,,
,632,S1G Beacon,2026-07-07T13:32:59.076414000Z,-66,,,9c:04:b6:46:07:34,,,,
,634,S1G Beacon,2026-07-07T13:32:59.834481000Z,-60,H7608,,78:72:64:ea:b9:14,,,,
,635,S1G Beacon,2026-07-07T13:32:59.896977000Z,-66,H7608,,9c:04:b6:46:07:34,,,,
,636,S1G Beacon,2026-07-07T13:33:00.651897000Z,-59,,,78:72:64:ea:b9:14,,,,
,637,S1G Beacon,2026-07-07T13:33:00.714399000Z,-64,,,9c:04:b6:46:07:34,,,,
,639,S1G Beacon,2026-07-07T13:33:01.472922000Z,-60,H7608,,78:72:64:ea:b9:14,,,,
,640,S1G Beacon,2026-07-07T13:33:01.535424000Z,-64,H7608,,9c:04:b6:46:07:34,,,,
,641,S1G Beacon,2026-07-07T13:33:02.290349000Z,-59,,,78:72:64:ea:b9:14,,,,
,642,S1G Beacon,2026-07-07T13:33:02.352840000Z,-65,,,9c:04:b6:46:07:34,,,,
,643,S1G Beacon,2026-07-07T13:33:03.111385000Z,-58,H7608,,78:72:64:ea:b9:14,,,,
,644,S1G Beacon,2026-07-07T13:33:03.173873000Z,-66,H7608,,9c:04:b6:46:07:34,,,,
,645,S1G Beacon,2026-07-07T13:33:03.928797000Z,-59,,,78:72:64:ea:b9:14,,,,
,653,S1G Beacon,2026-07-07T13:33:03.991294000Z,-66,,,9c:04:b6:46:07:34,,,,
,658,S1G Beacon,2026-07-07T13:33:04.749828000Z,-59,H7608,,78:72:64:ea:b9:14,,,,
,659,S1G Beacon,2026-07-07T13:33:05.567253000Z,-60,,,78:72:64:ea:b9:14,,,,
,660,S1G Beacon,2026-07-07T13:33:05.629742000Z,-66,,,9c:04:b6:46:07:34,,,,
,661,S1G Beacon,2026-07-07T13:33:06.388281000Z,-59,H7608,,78:72:64:ea:b9:14,,,,
,662,S1G Beacon,2026-07-07T13:33:06.450772000Z,-59,H7608,,9c:04:b6:46:07:34,,,,
,663,S1G Beacon,2026-07-07T13:33:07.205697000Z,-60,,,78:72:64:ea:b9:14,,,,
,664,S1G Beacon,2026-07-07T13:33:07.268190000Z,-57,,,9c:04:b6:46:07:34,,,,
